day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyLDORewardROI
19311,38413763,1668556387,4301.336289,946.1633004,0.1892326601,2.01203717,1.243179499,1366.960282,1247.576391,3.434908477,1252.241892,4.11E-05,0.00E+00,5.08E-15
19312,38676426,1668642611,1221960.567,135612.7651,27.12255302,572.9036098,387.9165234,1309.997577,1215.36,1011.597294,1207.951598,2.03E-05,0.00E+00,1.68E-17
19313,38924643,1668729337,2431437.508,126405.7532,25.28115064,1154.202771,764.1305037,1312.740412,1199.1,2020.513889,1203.375795,9.54E-06,0.00E+00,9.40E-18
19314,39172137,1668815731,3710521.658,404190.916,80.83818319,1762.950862,1150.376288,1314.420933,1211.136004,3069.21313,1208.948842,2.00E-05,0.00E+00,5.88E-18
19315,39466703,1668902359,4165132.546,283555.8911,56.71117822,1963.124946,1298.044815,1316.604501,1217.58,3434.730007,1212.652097,1.24E-05,0.00E+00,5.08E-18
19316,39778342,1668987997,3985073.298,384385.6605,76.87713209,2002.670845,1296.39071,1252.964302,1138.39,3475.97448,1146.462185,1.76E-05,0.00E+00,4.87E-18
19317,40090112,1669075040,3970989.046,427952.9734,85.59059467,2161.070479,1257.495087,1194.003275,1105.9,3608.908127,1100.329769,1.98E-05,0.00E+00,4.63E-18
19318,40390853,1669161017,4127922.695,367013.6296,73.40272593,2190.984732,1268.47712,1225.885889,1136.81627,3652.319021,1130.219642,1.63E-05,0.00E+00,4.63E-18
19319,40679790,1669247895,5210565.487,323346.6231,64.66932462,2699.60943,1496.543578,1273.977452,1183.61,4433.394762,1175.299239,1.14E-05,0.00E+00,3.76E-18
19320,40950128,1669334362,5415771.768,590300.5145,118.0601029,2958.051238,1323.729462,1293.056351,1201.79,4539.335639,1193.075859,2.01E-05,0.00E+00,3.56E-18
19321,41217782,1669419688,5360243.132,174912.8541,34.98257081,2856.789184,1362.083722,1303.351295,1201.72,4468.342309,1199.604408,5.98E-06,0.00E+00,3.55E-18
19322,41485156,1669507180,5693842.565,192391.0059,38.47820118,2957.685953,1510.373515,1309.612972,1205.277142,4727.024545,1204.529934,6.18E-06,0.00E+00,3.33E-18
