day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyCRVRewardROI
19404,16644190,1676585471,7963244.007,299290.7508,45.93433303,2430.095996,2640.571139,1622.677851,1522.390743,2533.04037,3143.749346,5.77E-06,0
19405,16651563,1676675147,7962713.364,1838827.205,305.3757972,2504.395622,2561.028485,1622.677851,1522.390743,2533.04037,3143.539857,3.84E-05,0
19406,16657766,1676750651,7961759.339,357529.1749,58.00880191,2586.909506,2472.452357,1622.677851,1522.390743,2533.04037,3143.163225,7.29E-06,0
19407,16666036,1676850971,7945952.567,101187.7257,17.28361476,2592.682422,2455.91629,1622.677851,1522.390743,2528.04037,3143.127247,2.18E-06,0
19408,16671324,1676915111,8363009.492,1523354.427,241.4329364,2384.491754,2687.305706,1622.677851,1672.213,2528.04037,3308.099661,3.04E-05,0
19409,16679068,1677009095,8789122.697,162762.7054,28.79636989,2289.463757,2789.378838,1801.595299,1672.213,2528.04037,3476.654409,3.62E-06,0
19410,16686605,1677100823,8790778.712,651103.8947,104.5461887,2586.879722,2469.941548,1801.595299,1672.213,2528.04037,3477.309467,1.32E-05,0
19411,16694478,1677196367,9970523.802,2644929.914,443.1878327,2966.851786,2766.069616,1801.595299,1672.213,2871.047577,3472.782507,4.45E-05,0
19412,16701218,1677278579,11388202.46,2954200.332,538.3002581,3379.388562,3169.400017,1801.595299,1672.213,3279.321175,3472.731657,4.73E-05,0.00E+00
19413,16707392,1677353615,10849767.4,742540.9103,116.4335876,3086.506204,3162.953719,1801.595299,1672.213,3124.544594,3472.431604,1.07E-05,0.00E+00
19414,16715298,1677449555,10246734.07,319924.8692,52.10042484,2953.329567,2945.814563,1801.595299,1672.213,2950.800039,3472.527428,5.08E-06,0.00E+00
19415,16722917,1677541859,10110750.55,767921.0572,129.8610606,3062.353063,2747.036215,1801.595299,1672.213,2899.089289,3487.560935,1.29E-05,0.00E+00
19423,16778853,1678221611,10105090.66,71141.34146,11.83356091,2740.642325,3227.645689,1759.753468,1636.56,2977.035513,3394.346698,1.17E-06,0.00E+00
19424,16785804,1678306055,9766554.002,170982.0854,26.73542296,2838.350004,2915.724287,1759.753468,1636.56,2876.724743,3395.02555,2.74E-06,0.00E+00
19425,16793356,1678397831,9496199.109,719534.4746,119.6783707,3008.09963,2734.509792,1759.753468,1536.90631,2876.724743,3301.045445,1.23E-05,0.00E+00
19426,16799926,1678478039,8661629.856,885792.315,156.6880013,3013.061543,2662.772046,1516.46378,1536.90631,2844.450153,3045.098135,1.67E-05,0.00E+00
19427,16807695,1678572419,8048255.857,75167.97967,17.07489566,2836.706505,2437.684824,1516.46378,1536.90631,2642.002625,3046.270954,2.12E-06,0.00E+00
19428,16815150,1678662983,8053573.481,81970.9991,17.45682063,2793.363638,2483.911137,1516.46378,1536.90631,2642.002625,3048.283679,2.17E-06,0.00E+00
