Date;ETH.STORE;ETH staking % per day;ETH compound
01.12.2020;17.403;0.043966450%;1.000439665
02.12.2020;17.909;0.045145243%;1.000891315
03.12.2020;18.098;0.045584250%;1.001347564
04.12.2020;18.031;0.045428704%;1.001802463
05.12.2020;17.768;0.044817273%;1.002251444
06.12.2020;17.572;0.044360720%;1.00269605
07.12.2020;16.984;0.042986493%;1.003127074
08.12.2020;16.785;0.042519846%;1.003553602
09.12.2020;16.691;0.042299143%;1.003978096
10.12.2020;16.564;0.042000679%;1.004399774
11.12.2020;16.228;0.041209473%;1.004813682
12.12.2020;15.977;0.040616934%;1.005221806
13.12.2020;15.681;0.039916517%;1.005623056
14.12.2020;15.493;0.039470729%;1.006019983
15.12.2020;15.335;0.039095517%;1.006413291
16.12.2020;15.172;0.038707894%;1.006802853
17.12.2020;14.962;0.038207695%;1.007187529
18.12.2020;14.835;0.037904752%;1.007569301
19.12.2020;14.592;0.037324171%;1.007945368
20.12.2020;14.21;0.036409003%;1.008312351
21.12.2020;14.169;0.036310596%;1.008678475
22.12.2020;14.02;0.035952677%;1.009041122
23.12.2020;13.839;0.035517260%;1.009399506
24.12.2020;13.745;0.035290860%;1.009755731
25.12.2020;13.585;0.034905068%;1.010108187
26.12.2020;13.45;0.034579135%;1.010457474
27.12.2020;13.196;0.033964847%;1.010800674
28.12.2020;13.174;0.033911576%;1.011143453
29.12.2020;13.082;0.033688696%;1.011484094
30.12.2020;12.987;0.033458358%;1.01182252
31.12.2020;12.834;0.033086987%;1.012157301
01.01.2021;12.776;0.032946074%;1.012490767
02.01.2021;12.661;0.032666464%;1.012821512
03.01.2021;12.464;0.032186818%;1.013147507
04.01.2021;12.47;0.032201439%;1.013473755
05.01.2021;12.172;0.031474328%;1.01379274
06.01.2021;12.199;0.031540286%;1.014112493
07.01.2021;12.127;0.031364362%;1.014430563
08.01.2021;12.002;0.031058669%;1.014745631
09.01.2021;11.925;0.030870193%;1.015058885
10.01.2021;11.834;0.030647282%;1.015369973
11.01.2021;11.697;0.030311350%;1.015677745
12.01.2021;11.55;0.029950439%;1.015981945
13.01.2021;11.335;0.029421721%;1.016280865
14.01.2021;11.392;0.029561992%;1.016581298
15.01.2021;11.291;0.029313393%;1.016879292
16.01.2021;11.198;0.029084286%;1.017175044
17.01.2021;11.14;0.028941306%;1.017469428
18.01.2021;11.04;0.028694612%;1.017761387
19.01.2021;10.942;0.028452638%;1.018050967
20.01.2021;10.746;0.027968049%;1.018335696
21.01.2021;10.747;0.027970523%;1.01862053
22.01.2021;10.807;0.028118956%;1.018906955
23.01.2021;10.801;0.028104117%;1.01919331
24.01.2021;10.682;0.027809630%;1.019476744
25.01.2021;10.658;0.027750200%;1.019759651
26.01.2021;10.55;0.027482604%;1.020039907
27.01.2021;10.349;0.026983882%;1.020315153
28.01.2021;10.287;0.026829865%;1.020588903
29.01.2021;10.227;0.026680734%;1.020861203
30.01.2021;10.091;0.026342403%;1.021130123
31.01.2021;10.091;0.026342403%;1.021399113
01.02.2021;10.043;0.026222893%;1.021666953
02.02.2021;9.715;0.025404845%;1.021926506
03.02.2021;9.76;0.025517222%;1.022187273
04.02.2021;9.763;0.025524712%;1.022448184
05.02.2021;9.62;0.025167455%;1.022705508
06.02.2021;9.74;0.025467282%;1.022965963
07.02.2021;9.671;0.025294922%;1.023224722
08.02.2021;9.53;0.024942370%;1.023479938
09.02.2021;9.573;0.025049934%;1.023736319
10.02.2021;9.658;0.025262436%;1.02399494
11.02.2021;9.629;0.025189954%;1.024252884
12.02.2021;9.59;0.025092447%;1.024509894
13.02.2021;9.437;0.024709588%;1.024763046
14.02.2021;9.425;0.024679537%;1.025015953
15.02.2021;9.251;0.024243432%;1.025264452
16.02.2021;9.227;0.024183225%;1.025512394
17.02.2021;9.18;0.024065282%;1.025759186
18.02.2021;9.206;0.024130533%;1.026006708
19.02.2021;9.168;0.024035160%;1.02625331
20.02.2021;9.264;0.024276038%;1.026502444
21.02.2021;9.164;0.024025119%;1.026749062
22.02.2021;9.17;0.024040181%;1.026995894
23.02.2021;9.114;0.023899574%;1.027241342
24.02.2021;8.997;0.023605573%;1.027483828
25.02.2021;8.938;0.023457197%;1.027724847
26.02.2021;8.982;0.023567858%;1.02796706
27.02.2021;8.901;0.023364106%;1.028207235
28.02.2021;8.95;0.023487381%;1.028448734
01.03.2021;8.78;0.023059455%;1.028685889
02.03.2021;8.783;0.023067012%;1.028923176
03.03.2021;8.707;0.022875494%;1.029158547
04.03.2021;8.697;0.022850284%;1.029393713
05.03.2021;8.772;0.023039301%;1.029630878
06.03.2021;8.698;0.022852805%;1.029866177
07.03.2021;8.704;0.022867931%;1.030101686
08.03.2021;8.668;0.022777163%;1.030336314
09.03.2021;8.418;0.022145997%;1.030564493
10.03.2021;8.389;0.022072688%;1.030791966
11.03.2021;8.518;0.022398637%;1.031022849
12.03.2021;8.528;0.022423889%;1.031254045
13.03.2021;8.561;0.022507201%;1.031486151
14.03.2021;8.529;0.022426414%;1.031717476
15.03.2021;8.458;0.022247081%;1.031947004
16.03.2021;8.459;0.022249608%;1.032176608
17.03.2021;8.521;0.022406213%;1.032407879
18.03.2021;8.507;0.022370858%;1.032638838
19.03.2021;8.54;0.022454187%;1.032870709
20.03.2021;8.532;0.022433988%;1.033102423
21.03.2021;8.498;0.022348128%;1.033333302
22.03.2021;8.495;0.022340551%;1.033564154
23.03.2021;8.533;0.022436513%;1.03379605
24.03.2021;8.493;0.022335499%;1.034026953
25.03.2021;8.537;0.022446613%;1.034259057
26.03.2021;8.564;0.022514774%;1.034491918
27.03.2021;8.582;0.022560205%;1.034725302
28.03.2021;8.543;0.022461761%;1.034957719
29.03.2021;8.551;0.022481958%;1.035190398
30.03.2021;8.528;0.022423889%;1.035422528
31.03.2021;8.486;0.022317818%;1.035653612
01.04.2021;8.461;0.022254661%;1.035884093
02.04.2021;8.471;0.022279925%;1.036114887
03.04.2021;8.451;0.022229394%;1.036345209
04.04.2021;8.426;0.022166217%;1.036574928
05.04.2021;8.351;0.021976598%;1.036802732
06.04.2021;8.32;0.021898184%;1.037029773
07.04.2021;8.109;0.021363868%;1.037251322
08.04.2021;8.205;0.021607098%;1.037475442
