day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,outputTokenPriceUSD
19280,15750074,1665795419,323.38008484,0,0,250000000000000000,0,248000000000000000,1303.951955,0.0,,0
19284,15785084,1666217915,181765.591214798302109236215769,0,0,70249971887080124630,0,70247971888016516368,1313.170347,0.0,,1293.724727
19286,15796566,1666356299,203287.67874382004698833659298,0,0,80249971872845045949,0,80247971873781440828,1291.80314,0.0,,1266.606633
19288,15811212,1666532951,222922.651378093512619795066722,0,0,85249971866614438825,0,85247971867550834950,1308.20155,0.0,,1307.480523
19290,15828513,1666742315,263992.670108720225923734037442,12772.077129492985721213094142,2.5544154258985971442426188284,104256027798158689389,0,76281237169256002264,1470.559428,9.676084661163549e-06,,1462.453111
19291,15828897,1666746935,249345.148386781203913763429354,7346.869257025984476755034486,1.4693738514051968953510068972,104255179614664489495,0,66287300060769252786,1470.559428,5.892931388125194e-06,,1462.453111
19292,15841720,1666901591,249345.148386781203913763429354,10600.482998,2.1200965996,90223658241758703051,0,80287300060769252786,1558.15,8.50265831646073e-06,,1462.453111
19293,15849102,1666990751,287241.563427299397336139451072,0,0,95292604037333267042,0,95286246001666265112,1552.72,0.0,,1507.317328
19294,15857107,1667087483,307986.837599222999461534668504,25520.49859352864736020428,5.104099718705729472040856,96274624056278712957,0,94510879597668922332,1552.72,1.6572460558680077e-05,,1614.485163
19296,15870916,1667254031,401117.128896538961668110512589,25899.9396248439861282550634385,5.1799879249687972256510126877,128291581519576913018,0,127902829109627491777,1623.630413,1.2913903575294295e-05,0.0,1565.948121
19297,15875065,1667304347,1334306.982145560610910596311753,811.8152065,0.1623630413,419290676358810395727,0,432936839984706589797,1623.630413,1.2168342328458842e-07,0.0,1565.948121
19298,15885282,1667427695,2539561.11926940220870243134474,1833.83312682855599257117,0.366766625365711198514234,781394478849906618399,0,819021831958566570805,1575.71,1.444212634154775e-07,0.0,1587.110917
19299,15892850,1667519075,5385300.113104082625227416043268,170760.582148975998152994389104,34.1521164297951996305988778208,1887132699738001892635,0,1606257027495045356548,1548.111256,6.341729469578242e-06,2.012892512359437e-18,1541.984898
19300,15899874,1667603735,5922589.240523129723797221807216,55924.769456667345629095046052,11.1849538913334691258190092104,1853485778974485113943,0,1988403877790647010340,1621.4,1.888524332365404e-06,1.9188268406668905e-18,1541.984898
