day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,outputTokenPriceUSD
19400,16616102,1676246243,0,504470.2005796033661258598567465,115.5643507056851493173594909691238,2148007247503605152603,1803.758403,2943327864475526745693,1522.390743,0.0,,0
19401,16622184,1676319671,0,642626.3778252234216422734662495,126.3182569405637661969172454436855,2262267329545995856833,1622.677851,2827625905755689282214,1522.390743,0.0,0.0,0
19402,16630054,1676414759,0,947570.1001490400929421444704925,167.6694075717977939160856496426253,2578341815728070441012,1622.677851,2488251843370947018480,1522.390743,0.0,0.0,0
19403,16637366,1676503103,0,58871.791625549756629537095057,10.24045682334773547995945008021564,2594505583496858129535,1622.677851,2470902947567199770535,1522.390743,0.0,0.0,0
19404,16644190,1676585471,7961110.371371369523319557666147,299290.7507891004844060265068905,45.9343330255277763409204170860972,2430095995986079627416,1622.677851,2640571139156075087416,1522.390743,5.769839995022603e-06,0.0,0
19405,16651563,1676675147,7961110.371371369523319557666147,1838827.2046857827643268712080695,305.37579720326026824841881815883,2504395621621336599878,1622.677851,2561028485098751664525,1522.390743,3.835844285005895e-05,0.0,0
19406,16657766,1676750651,7961110.371371369523319557666147,357529.174861205301785253576036,58.0088019102703500687951689553892,2586909505633294628394,1622.677851,2472452357274189801643,1522.390743,7.2865215031904945e-06,0.0,0
19407,16666036,1676850971,7946351.661733781055816121847784,101187.725707481462769601888722,17.28361476174498189975129237629188,2592682422480470801740,1622.677851,2455916290042713168421,1522.390743,2.1750377402721115e-06,0.0,0
19408,16671324,1676915111,7946351.661733781055816121847784,1523354.426596151620235137297403,241.4329363976204858139927088001962,2384491754409479127372,1622.677851,2687305705699405410906,1672.213,3.0382865832663546e-05,0.0,0
19409,16679068,1677009095,7946351.661733781055816121847784,162762.7053525700602338342665405,28.79636989121574609777334310361869,2289463757149507384829,1801.595299,2789378838254715876436,1672.213,3.623847913739673e-06,0.0,0
19410,16686605,1677100823,7946351.661733781055816121847784,651103.8946780420282752322079265,104.5461886516607076540761299506037,2586879722226557297892,1801.595299,2469941547957080970233,1672.213,1.3156501637740284e-05,0.0,0
19411,16694478,1677196367,9969901.977899509041899366238348,2644929.913698183854916595699266,443.1878327113866719340280713398941,2966851786437735309632,1801.595299,2766069615836542664592,1672.213,4.445257673483756e-05,0.0,0
19412,16701218,1677278579,11388748.251714085872296518936483,2954200.3321149798477801741209635,538.3002580778572920059130309818631,3379388562269362020998,1801.595299,3169400017240864531821,1672.213,4.726597218415459e-05,0.0,0
19413,16707392,1677353615,10849767.395223065847770728017764,742540.910276421551711104664167,116.4335876290543587684947421922619,3086506203828969960036,1801.595299,3162953719454673398519,1672.213,1.073143629607375e-05,0.0,0
19414,16715298,1677449555,10247842.123798954801477342618817,319924.8692096167464529490723775,52.1004248414691076193236331728148,2953329567398917947472,1801.595299,2945814562882340221024,1672.213,5.084038591936765e-06,0.0,0
19415,16722917,1677541859,10066345.803855746661891782637963,767921.057235259286593855668025,129.8610605981253587433104910275421,3062353062960916336906,1801.595299,2747036214609854452083,1672.213,1.2900516545774162e-05,0.0,0
19416,16730033,1677628343,9675338.469953581777087085042199,470309.0023094026555314057040525,77.24000376259088379980669402617194,2803620505667144337293,1801.595299,3086120517778280543689,1636.56,7.983183637704972e-06,0.0,0
19417,16736423,1677705911,9675338.469953581777087085042199,744579.597782077700561680963018,132.2065381620169352787976392649748,3086550731798376291203,1801.595299,2810749313289372771609,1636.56,1.3664280435519606e-05,0.0,0
19418,16743847,1677796271,9675338.469953581777087085042199,128284.525788045323662927557503,25.1587554349026354774860723839676,3126389535485742042645,1759.753468,2808216338202895954951,1636.56,2.6002971899156034e-06,0.0,0
19419,16750039,1677871535,9675338.469953581777087085042199,143550.260677312726543109047866,25.94942209804513619446822580734184,3044566516307810725746,1759.753468,2895663287654202542615,1636.56,2.6820169835536133e-06,0.0,0
19420,16757879,1677966923,9675338.469953581777087085042199,165586.69452457847814889845831,27.43719821132908711008335437246101,2980337300124517528191,1759.753468,2964336889540883693837,1636.56,2.835786912936878e-06,0.0,0
19421,16761367,1678009211,9675338.469953581777087085042199,132345.445166756131732422214848,21.70830473596962527773407850527829,3037631024182894653345,1759.753468,2910134465808929740572,1636.56,2.2436739348586092e-06,0.0,0
19422,16770344,1678118243,9675338.469953581777087085042199,454442.427762601441787220876682,71.56169096575062963349765014266876,2780557903423677574116,1759.753468,3184961723736994031658,1636.56,7.39629845384561e-06,0.0,0
19423,16778853,1678221611,10105090.6645051626258110133151,71141.341456964281958894566104,11.83356090913498281680639632899668,2740642324684743088825,1759.753468,3227645689185611262992,1636.56,1.171049454380572e-06,0.0,0
19424,16785804,1678306055,9766554.001835105323035714453332,170982.085411245051343915345434,26.73542296281985549831204455204171,2838350003876022065099,1759.753468,2915724286990065779399,1636.56,2.7374468986498563e-06,0.0,0
19425,16793356,1678397831,9766554.001835105323035714453332,719534.474620955734205068042306,119.6783707455582842104156856363261,3008099629832104678620,1759.753468,2734509791509198972989,1536.90631,1.2253899453489028e-05,0.0,0
19426,16799926,1678478039,9378021.914100297347227695955394,885792.31499807134640918287358,156.6880013102428234266809140741247,3013061543116582349418,1516.46378,2662772045735896900544,1536.90631,1.6708001191024628e-05,0.0,0
