day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,outputTokenPriceUSD
18617,11499603,1608591435,548248.7318501037018772853633992452,98229.467406649494089679331882,19.6458934813298988179358663764,270832309048298901440,647.058104,577167804799356635959,641.363295,3.5833905926300015e-05,,647.087679224189570777149432
18618,11505774,1608673120,655371.5633864773858813295571142903,287137.172891862897375050555897,57.4274345783725794750101111794,328947093568787403096,617.386698,721157333117277935002,619.227516,8.762576496549515e-05,,624.759888545361322062293468
18619,11512034,1608756049,629840.4044882681927544931497343462,248707.617454654578833270048838,49.7415234909309157666540097676,505801051531889058570,617.386698,502691625685828857755,619.227516,7.897480558006569e-05,,624.759888545361322062293468
18620,11518996,1608848480,619539.6783348217695033075979549968,86095.9851464454234102904085095,17.2191970292890846820580817019,441033259907249048211,570.809343,639921152402555125704,573.656939,2.77935338630292e-05,,573.466799503645599544771695
18621,11525869,1608940673,996050.3889293983258427063542828331,1192884.8316891399030398407682855,238.5769663378279806079681536571,963899993146172051273,623.672569,671277374611251108399,619.820691,0.0002395229889867938,,609.7040765322466279728753
18622,11532422,1609026704,1335649.032759408856243483783928402,1901150.069970016738694154148579,380.2300139940033477388308297158,1054225309548648213510,623.672569,1138957911275898694251,619.820691,0.00028467808883031204,,609.7040765322466279728753
18623,11538349,1609105533,1613970.900314576890427870258109729,475375.267569372016846152265853,95.0750535138744033692304531706,1245728774444758713412,633.91857,1323469384105454301155,643.469191,5.8907538850510535e-05,,628.97518080489933702553276
18624,11545463,1609198729,2113859.500758025624415190554758724,262743.1784067505831384318425625,52.5486356813501166276863685125,1435793431867446821070,729.562712,1500331311352953012479,737.938455,2.485909572632726e-05,,720.863149475327264415047808
18625,11551926,1609285656,2542439.031797998052144611636015946,894298.207299853817724347735395,178.859641459970763544869547079,1395289954512555541311,729.562712,2137323877023783124824,737.938455,7.034962853503797e-05,,720.863149475327264415047808
18626,11558496,1609372541,6904226.234361099292019940097510167,1862000.88666595685757773216567,372.400177333191371515546433134,2559123839172474860879,720.763211,6700846172118111325975,731.896417,5.393800328845285e-05,0.0,747.68108043289682670859206
18627,11564845,1609457164,17056630.96047923885516533238711467,2342410.9567751679522725988640525,468.4821913550335904545197728105,5908872203385567915765,756.42448,16975963732842504463121,738.898911,2.746627938662224e-05,2.2450811507677275e-17,747.68108043289682670859206
18628,11571409,1609543668,24133041.10918800861744430793648369,1707497.756725434992761324768752,341.4995513450869985522649537504,7858025255541431466231,756.42448,23780497712858429647049,738.898911,1.4150705242658797e-05,1.6968577100799018e-17,765.336618101031889437901573
18629,11578132,1609631467,23964003.74211442326191941917223033,187471.272731906408708068374095,37.494254546381281741613674819,8082361331478899206462,752.731877,22946321542175655938897,738.782019,1.5646072730529894e-06,1.6772413607877956e-17,774.76098246935373059604201
18630,11584415,1609715383,26434450.74080850033406280649610999,1376619.9321036466527085865755525,275.3239864207293305417173151105,11499868063127028586610,937.886915,22698660809928098800203,946.44326,1.0415347348061014e-05,1.5460107494639374e-17,774.76098246935373059604201
18631,11591130,1609804471,42139623.24197861996678236681326399,2068039.9346411217365684420539025,413.6079869282243473136884107805,14826572847407568144911,937.886915,24601559645934151172996,946.44326,9.815179992311764e-06,9.253063445984377e-18,1070.983823308467043145157744
18632,11597636,1609890586,49467638.04066586384609105071076571,4167919.848634621784811455840821,833.5839697269243569622911681642,14419497922180078771820,1043.61027,31696605404395902450796,1043.090429,1.6851097055445822e-05,7.999528302706928e-18,1075.468797850617570841384692
18633,11604164,1609977405,55992003.75319653773598234105600168,1299349.924706120186599666416732,259.8699849412240373199332833464,17949251512359437673704,1043.61027,34235827249814162645057,1192.423831,4.641198162628504e-06,7.428857404895341e-18,1075.468797850617570841384692
18634,11610314,1610059808,63467143.17500425087703197716115839,1945116.9807532669186290931346715,389.0233961506533837258186269343,19639437743315765220562,1043.61027,33495550805349415898353,1192.423831,6.129524296973012e-06,7.61264027370986e-18,1197.062577232796458000792792
18635,11616735,1610144226,64112659.35284871950511441782197754,1183667.2386569319441952790332435,236.7334477313863888390558066487,20628751529012935452207,1043.61027,33043205534424431456758,1249.995925,3.692460274163742e-06,6.900819880015559e-18,1197.062577232796458000792792
18636,11623345,1610231998,70051057.62260143170548409109732376,53432.4844480230018546606719975,10.6864968896046003709321343995,20963355620357784242675,1043.61027,35341707092219061853322,1249.995925,1.5255296996624764e-07,7.261391406390367e-18,1246.861305368198723339076226
18637,11630215,1610323006,79049183.32221193199908281051612813,701902.807711592855428319659677,140.3805615423185710856639319354,21595777305031447407737,1043.61027,38932125979012146523917,1288.177852,1.7758635275220255e-06,6.5399438184553194e-18,1308.998981198947050334355604
18638,11636668,1610408390,77836864.78442318005890245498464979,519721.945439526895782773867629,103.9443890879053791565547735258,21737683900914330626193,1056.069262,37859103846378871520154,1055.115008,1.3354133594125294e-06,5.332425326779475e-18,1308.998981198947050334355604
18639,11643061,1610492510,67063715.22304413894544980607811528,61421.482500024184390285069851,12.2842965000048368780570139702,22288898979509700123483,1056.069262,40982474058632972841475,1055.115008,1.831735157998488e-07,6.431704682124131e-18,1062.420251296930235101134496
18640,11649827,1610581618,61654599.74935013470444775946077912,964589.567900761052427668446501,192.9179135801522104855336893002,22465829649826902019259,1056.045025,35395023457459123655313,1042.313278,3.1290108826338723e-06,7.448399883394181e-18,1067.86268982687074656581175
18641,11656263,1610668546,56014343.8732660612255665723557883,834926.9045297707690795827514455,166.9853809059541538159165502891,22119553656164494027912,1056.045025,30442897185312641880971,1202.725371,2.9811182165011696e-06,1.3342053897285286e-17,1067.86268982687074656581175
18642,11662757,1610753716,67088119.69950658396185075894745184,72321.676977758324039125737133,14.4643353955516648078251474266,21778587653869058074500,1056.045025,32939002691263470935751,1202.725371,2.1560203893533844e-07,1.7329588264781533e-17,1228.718045662418498392140672
18643,11669311,1610840905,91454785.38202716964394303162060164,275808.530158301103255806457296,55.1617060316602206511612914592,32315720712945176960835,1168.691556,41719767718279396816980,1170.691598,6.03158225140843e-07,1.2021429096400757e-17,1237.815829810687203825458002
18644,11675800,1610927233,104306037.4985135419871591275186184,513283.466908205813239285290873,102.6566933816411626478570581746,32544148544395429635073,1168.691556,51912437741331395961503,1232.903268,9.841874530331393e-07,1.638247646799301e-17,1237.815829810687203825458002
18645,11682354,1611014319,117543418.97241766916596472420703,2685706.706460766253516341271082,537.1413412921532507032682542164,36232315473714231261655,1168.691556,58946609473390172358857,1232.903268,4.569727050547993e-06,1.3714458771022413e-17,1237.815829810687203825458002
18646,11688873,1611100463,123451458.6691933463977802086390606,3614094.85280143917604251226829,722.818970560287835208502453658,39299621221947220380347,1168.691556,60658087165325573780951,1321.796276,5.8550865121585115e-06,1.082229513258617e-17,1237.815829810687203825458002
18647,11695198,1611183350,126146366.2278100840953977123362353,664819.4518416082600668843899,132.96389036832165201337687798,39064922094651952333860,1168.691556,63080597437720310220680,1310.238788,1.0540445543092352e-06,1.2312718588047873e-17,1237.815829810687203825458002
18648,11701946,1611273560,130256293.0856278880293905421286462,13287084.882612251314849263103914,2657.4169765224502629698526207828,44656759288996150036046,1168.691556,60802035797799668936088,1310.238788,2.0401447896076063e-05,1.0513908499724428e-17,1237.815829810687203825458002
18649,11708425,1611359925,147509273.3606423922189694608427103,13608778.40249129862572279487004,2721.755680498259725144558974008,52838940611832074820377,1168.691556,66586414768822711488564,1166.134124,1.8451420839447122e-05,1.0909043398070731e-17,1237.815829810687203825458002
18650,11714789,1611443942,159272632.5239471271886660739871883,1316709.871819848502208697075147,263.3419743639697004417394150294,52329264589544969002641,1168.691556,76636705825738018059111,1253.128173,1.6534037906630033e-06,1.1011515410040555e-17,1237.815829810687203825458002
