day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyLDORewardROI,dailyCRVRewardROI
18632,11597392,1609887250,11961850.050342266,58474.1386673884574469156889655,11.6948277334776914893831377931,5816.720363476998,5602.385843248129,1051.804903,1043.090429,11418.537248621797,1047.5816463957365,9.737342159613257e-07,,
18633,11604105,1609976484,13678321.551659841,513729.519830986736584249133043,102.7459039661973473168498266086,6388.707593280214,5835.716630536197,1051.804903,1192.423831,12221.900866189106,1119.1648256205224,7.992503508365e-06,,
18634,11610527,1610062704,14636152.06075446,420825.52656567675956134661754,84.165105313135351912269323508,6316.94140076449,6287.324865175171,1130.134919,1192.423831,12603.024994638528,1161.3205612922966,5.752284217370449e-06,,
18635,11617132,1610149409,14854652.054361135,276744.868749624759392895996476,55.3489737499249518785791992952,6435.657301793592,6006.959472992355,1141.449404,1249.995925,12440.06496739002,1194.0976267648628,3.7760301896146296e-06,,
18636,11623655,1610236385,19283877.360839374,451703.3609429513688845785998805,90.3406721885902737769157199761,8012.388170208298,8110.539767830415,1141.449404,1249.995925,16119.895547321988,1196.2780592609374,4.756304250669731e-06,,
18637,11630206,1610322850,34527955.48445919,78890.224841584009336578075568,15.7780449683168018673156151136,13355.662861687217,13099.109134557239,1321.834296,1288.177852,26448.464477298196,1305.480532304473,4.586489954595202e-07,,
18638,11636729,1610409151,29130216.71027046,243371.308565679082950340863416,48.6742617131358165900681726832,13642.655884561089,13855.227813222371,1063.675433,1055.115008,27490.55556877081,1059.6445254588562,1.6288546784825313e-06,,
18639,11643226,1610494881,33906022.982425526,509026.2255347062498456619308665,101.8052451069412499691323861733,16050.734708492015,15953.948776930061,1063.675433,1055.115008,31994.929136965704,1059.7311479353089,2.9272208151098813e-06,,
18640,11649861,1610582134,77521928.0674586,9588705.8873982997986960289451745,1917.7411774796599597392057890349,37200.26206038552,37405.99691617416,1035.830359,1042.313278,74575.1913882876,1039.513632138446,2.4547997583152536e-05,3.978600375201248e-17,0.0
18641,11656272,1610668687,119302385.33438629,11598465.129413770400974224685376,2319.6930258827540801948449370752,53131.68331374562,53434.45501594465,1035.830359,1202.725371,106515.4235320781,1120.0479834590085,2.078923331068087e-05,2.732679819988597e-17,2.064480987787561e-18
18642,11662828,1610754627,141393677.9152372,2587402.06340572902637353226317,517.480412681145805274706452634,57823.555836136125,57928.459445435314,1240.353503,1202.725371,115693.72673561034,1222.1378107938194,4.269770771772765e-06,2.2422577440299793e-17,2.9599200933609534e-18
18643,11669306,1610840853,140104497.1639319,330856.408814257057615226142986,66.1712817628514115230452285972,60370.58976250578,57006.718406735825,1215.280672,1170.691598,117306.97269279863,1194.3407450368275,5.384757811409286e-07,2.029536468100303e-17,2.7019632164416446e-18
18644,11675587,1610924296,138165622.1910157,1708169.442232150580900885043994,341.6338884464301161801770087988,59660.864540844836,53257.160025401776,1215.280672,1232.903268,112824.59400136372,1224.605534050011,2.8905309220527132e-06,1.9132521967719224e-17,4.3922832816301355e-18
18645,11682231,1611012773,123928208.78571558,639567.184014062929673252257398,127.9134368028125859346504514796,55207.84202061675,48439.655680558695,1163.001426,1232.903268,103547.74853732674,1196.8218578991325,1.1792230575325423e-06,2.0095177100270222e-17,4.174468779580466e-18
18646,11688845,1611100171,156768586.19440684,4810961.264051168261632452950009,962.1922528102336523264905900018,59897.77406197441,60207.33476249039,1288.641465,1321.796276,120026.23986697455,1306.119281651695,7.652548837671556e-06,2.1600626115091e-17,3.5882056544329416e-18
