day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyCRVRewardROI
19494,17281617,1684354271,365913.2399,0,0,100.0137734,100,1829.205014,1829.675441,200,1829.5662,0.00E+00,
19495,17289001,1684444067,359367.0822,64608.89304,12.92177861,135.8574857,64.18826746,1795.911564,1797.51,200,1796.835411,3.53E-05,0
19496,17296200,1684531775,362416.5262,48157.24759,9.631449517,129.9944283,70.07168572,1810.625452,1813.0762,200,1812.082631,2.63E-05,0
19497,17302447,1684607663,3170136.87,14640.51397,2.928102793,1126.341949,616.995759,1814.665896,1825.300307,1742.6085,1819.190523,9.25E-07,0
19498,17310564,1684706555,438444.6872,52610.12135,10.52202427,152.1662187,90.56348459,1806.860666,1805.380312,242.6096101,1807.202473,2.40E-05,0
19499,17317567,1684791659,441344.4422,59693.24262,11.93864852,150.1242039,92.63184965,1817.344989,1819.212,242.6107096,1819.146578,2.73E-05,0
19500,17325324,1684886099,592557.1066,22069.85346,4.413970693,152.3816597,167.3890515,1852.409238,1853.6691,319.5447291,1854.379223,7.45E-06,0
19501,17331773,1684964435,577445.6561,61381.01611,12.27620322,179.4146902,140.386565,1805.206307,1806.19225,319.5447291,1807.088659,2.07E-05,0
19502,17339486,1685058131,2883152.429,267316.3896,53.46327791,988.3956179,607.0657991,1806.750085,1807.66,1593.949401,1808.810511,1.85E-05,4.08E-18
19503,17346389,1685141975,2349819.708,171368.865,34.27377301,742.3671188,539.9893906,1835.117036,1828.719561,1281.038755,1834.308056,1.46E-05,4.92E-18
19504,17352730,1685218895,2794157.192,170867.9929,34.17359859,886.1138278,643.760579,1826.139604,1826.75,1528.161302,1828.443888,1.22E-05,4.19E-18
19505,17360882,1685317619,2912423.058,280542.2011,56.10844023,1020.185348,509.8898236,1902.407748,1905.538223,1528.163516,1905.832084,1.93E-05,3.81E-18
19506,17367047,1685392499,3090090.147,142419.7741,28.48395483,1071.122827,564.159996,1889.28017,1890.3131,1633.076703,1892.189228,9.21E-06,3.75E-18
19507,17373521,1685471327,3114291.014,134169.2351,26.83384702,1000.793164,634.6061105,1903.429107,1905.6737,1633.076803,1907.008297,8.59E-06,3.70E-18
19508,17382035,1685574815,3051759.997,705310.6623,141.0621325,1038.695779,596.9250315,1864.07669,1868.83,1633.076923,1868.71785,4.61E-05,3.78E-18
19509,17388999,1685659535,11333863.6,775748.5866,155.1497173,4047.376903,2017.437912,1868.387874,1869.59591,6054.658218,1871.924589,1.37E-05,3.28E-18
19510,17396413,1685749907,14891676.42,750173.1714,150.0346343,4893.995715,2919.401875,1905.28203,1906.97772,7799.727562,1909.255971,1.02E-05,2.45E-18
19511,17402319,1685821703,14795724.42,268452.1514,53.69043028,4863.979357,2961.491184,1889.71987,1892.345995,7811.206683,1894.166295,3.63E-06,2.49E-18
19512,17409940,1685914583,15615902.41,706589.9249,141.317985,5188.619194,3016.524946,1902.169571,1904.93,8189.505902,1906.818628,9.04E-06,2.39E-18
19513,17417615,1686008351,15109678.08,252756.9641,50.55139282,5261.227924,3100.130889,1807.033191,1807.17034,8344.812218,1810.667237,3.24E-06,2.34E-18
19514,17424549,1686092795,15598863.18,2861411.526,572.2823051,5527.273423,2761.884358,1881.209404,1883.1,8271.714148,1885.807814,3.64E-05,2.15E-18
19515,17431682,1686179723,18065841.52,3406210.153,681.2420305,7107.375949,2771.588152,1828.167665,1830.13,9856.512011,1832.883833,3.75E-05,1.84E-18
19516,17438899,1686267803,19585779.19,1590908.097,318.1816194,6839.267103,3749.825306,1849.420001,1849.98,10564.46747,1853.929623,1.63E-05,1.65E-18
19517,17445843,1686352355,21046644.8,1014906.106,202.9812212,7248.969381,4214.94205,1835.393827,1836.782345,11436.375,1840.324823,9.65E-06,1.52E-18
19518,17452977,1686439079,20024676.91,7277698.945,1455.539789,7350.853366,4108.051106,1743.900284,1754,11429.44608,1752.025144,7.24E-05,1.36E-18
19519,17460247,1686527603,21690532.05,637576.9842,127.5153968,7779.228931,4597.863215,1751.874399,1753.488449,12344.42311,1757.111843,5.82E-06,1.29E-18
19520,17466641,1686605363,28291263.93,6473891.913,1294.778383,10036.06082,6254.776079,1736.11558,1737.47265,16245.65411,1741.466594,4.60E-05,9.57E-19
19521,17474344,1686698975,35653031.35,5115761.219,1023.152244,12595.02716,7966.59842,1733.411445,1734.826635,20502.25423,1738.981038,2.87E-05,7.84E-19
19522,17481575,1686786995,64497444.45,11318979.84,2263.795969,28937.21548,10201.31925,1647.107939,1650.25,39018.56648,1652.993697,3.51E-05,3.83E-19
19523,17488321,1686869051,66645620.12,18181590.18,3636.318036,25820.0709,14211.09743,1664.206577,1666,39906.09152,1670.061326,5.44E-05,1.50E-19
19524,17495748,1686959147,71920323.23,7120399.686,1424.079937,28049.13377,13852.32874,1715.398965,1718.474103,41766.15659,1721.976095,1.98E-05,1.41E-19
