day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyLDORewardROI,dailyCRVRewardROI
19124,14763966,1652398142,178479102.2,9254407.575,1850.881515,90133.82975,7366.990537,1791.316481,2310.426141,97333.00752,1833.695544,1.04E-05,0,0
19125,14770383,1652485408,319431074.4,25514852.85,5102.970571,162139.7705,12546.35711,1791.316481,2310.426141,174350.7416,1832.11767,1.43E-05,1.14E-17,0
19126,14776225,1652566674,380036379.2,1784157.253,356.8314505,192133.1421,15523.16023,1791.316481,2310.426141,207251.6562,1833.695257,8.40E-07,8.98E-18,0
19127,14782931,1652658492,501226620.9,20472977.34,4094.595469,248233.7387,24480.95299,1791.316481,2310.426141,272229.3483,1841.19245,7.34E-06,7.10E-18,0
19128,14788953,1652741281,503815295.8,5438799.506,1087.759901,250488.251,23853.41933,1791.316481,2310.426141,273814.6715,1839.986488,1.94E-06,6.89E-18,0
19129,14795168,1652826871,528885965.2,2787133.714,557.4267429,262936.1259,25053.45166,1791.316481,2310.426141,287409.055,1840.185464,9.47E-07,6.60E-18,0
19130,14801239,1652910395,547141238.6,3108185.527,621.6371055,272049.7723,25888.72969,1791.316481,2310.426141,297308.5444,1840.314545,1.02E-06,6.11E-18,0
19131,14807775,1653003016,564148589.8,3258029.988,651.6059976,284699.2824,27286.504,1791.316481,1984.94,311298.5134,1812.243122,1.02E-06,2.85E-18,0
19132,14814044,1653090949,645564423.9,664382.0351,132.876407,324898.1078,32025.69791,1791.316481,1984.94,356116.1175,1812.79193,1.82E-07,2.68E-18,0
19133,14819879,1653172801,707134209.7,30376744.84,6075.348968,340229.2511,25298.74184,1930.809073,1984.94,364513.3267,1939.940622,8.14E-06,2.27E-18,0.00E+00
19134,14825837,1653256400,709562089.9,2107906.688,421.5813375,340205.2381,26545.25051,1930.809073,1984.94,365724.4654,1940.154835,5.63E-07,2.25E-18,0.00E+00
19135,14831899,1653341229,707472863.7,3674357.838,734.8715676,337448.1045,28174.65607,1930.809073,1984.94,364601.4988,1940.400317,9.75E-07,2.16E-18,0.00E+00
19136,14838526,1653435056,703840743,1337818.356,267.5636712,335472.8121,28266.24162,1930.809073,1984.94,362691.2505,1940.605796,3.57E-07,1.83E-18,0.00E+00
19137,14843883,1653510053,704730319.9,1963681.581,392.7363163,336862.7086,27362.41181,1930.809073,1984.94,363119.4133,1940.767401,5.23E-07,1.85E-18,0.00E+00
19138,14850509,1653603648,703826043.5,456771.9771,91.35439541,336035.0639,27711.91733,1930.809073,1984.94,362614.2098,1940.977558,1.22E-07,9.54E-19,0.00E+00
19139,14856664,1653689783,672981172.7,4590765.714,918.1531428,322732.4009,25112.35848,1930.809073,1984.94,346694.714,1941.134795,1.28E-06,1.04E-18,0.00E+00
19140,14863221,1653781692,672988730.4,1840781.817,368.1563634,321732.8577,26088.45083,1930.809073,1984.94,346657.6715,1941.364019,5.14E-07,9.92E-19,0.00E+00
19141,14869228,1653865987,667583154.5,159638.1417,31.92762834,321703.7484,26019.77942,1930.809073,1784.59,346523.8071,1926.514545,4.46E-08,9.45E-19,0.00E+00
19142,14875511,1653954910,666466493.6,2961154.794,592.2309588,320110.2691,27118.09524,1930.809073,1784.59,346018.7291,1926.099478,8.28E-07,1.05E-18,0.00E+00
19143,14881003,1654032132,668166196,305863.9829,61.17279658,319837.6113,27249.56616,1937.035767,1784.59,345845.7891,1931.977249,8.55E-08,1.04E-18,0.00E+00
19144,14886068,1654104279,662508301.9,1391312.898,278.2625796,316458.1298,27747.31778,1937.035767,1784.59,342953.363,1931.773744,3.92E-07,9.09E-19,0.00E+00
19145,14893605,1654209553,664331871.4,3026058.001,605.2116001,318173.1604,26907.62564,1937.035767,1784.59,343772.6804,1932.474304,8.51E-07,8.99E-19,0.00E+00
19146,14900052,1654300257,564297026.2,503758.2826,100.7516565,270555.974,22537.62922,1937.035767,1784.59,291946.3576,1932.879146,1.89E-07,0.00E+00,0.00E+00
