day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyCRVRewardROI
19055,14321416,1646408898,144667.1308,138.661618,0.0277323236,49.95527441,172.1443458,2895.719922,0.061852,221.1651733,654.1135236,4.33E-08,0
19056,14329478,1646517551,187453.9457,59899.84971,11.97996994,66.03690806,216.8388775,2838.434304,0.057741,281.7680145,665.2775901,1.50E-05,0
19057,14335720,1646602227,290995.738,70945.9234,14.18918468,102.5128566,342.1341846,2838.434304,0.057665,442.828208,657.130085,1.13E-05,0
19058,14342419,1646692297,441223.2913,84224.07403,16.84481481,164.1307646,536.6827413,2688.05391,0.057665,698.0149414,632.1115282,8.98E-06,0
19059,14348776,1646777643,551594.5616,121896.4175,24.37928351,201.4708615,680.2760526,2737.647604,0.05636,877.9800102,628.2541234,1.03E-05,0
19060,14355679,1646869601,1460405.459,75469.32178,15.09386436,533.4152431,1712.275632,2737.647604,0.05986,2236.869046,652.879283,2.47E-06,0
19061,14362067,1646954862,7769263.67,3817457.682,763.4915365,2819.284205,6324.272241,2755.623248,0.05986,9123.62641,851.5543405,3.05E-05,3.28E-18
19062,14368483,1647042104,7937594.129,6129484.651,1225.89693,2903.486206,9806.399162,2733.618407,0.058206,12650.08916,627.4733741,3.54E-05,2.19E-18
19063,14374939,1647127910,9054596.227,1184816.901,236.9633803,3312.068973,11399.47428,2733.618407,0.058206,14639.86868,618.4888968,5.89E-06,1.91E-18
19064,14381068,1647211355,9725740.963,413189.6907,82.63793814,3579.489773,12349.33628,2716.878724,0.056793,15850.77556,613.5813941,1.90E-06,1.73E-18
19065,14387789,1647301494,10653439.84,261844.1708,52.36883416,3920.931929,13168.61984,2716.878724,0.056445,17009.13219,626.3364715,1.12E-06,1.59E-18
19066,14394144,1647387275,11261341.44,307948.0543,61.58961087,4141.051117,13906.71563,2719.250779,0.056445,17962.76156,626.9270681,1.26E-06,1.53E-18
19067,14400579,1647474287,13382722.12,1605577.558,321.1155117,4921.156047,15074.44633,2719.250779,0.057362,19913.62471,672.0384817,5.54E-06,1.36E-18
19068,14406723,1647556869,12632020.8,1003827.66,200.765532,4645.053314,15574.11291,2719.250779,0.061381,20123.36074,627.7291832,3.43E-06,1.42E-18
19069,14413374,1647646430,13246877.61,605500.9891,121.1001978,4871.15365,16116.61887,2719.250779,0.061381,20890.15827,634.1205003,1.94E-06,1.40E-18
