day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token0PriceUSD,token1Balance,token1PriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI,outputTokenPriceUSD
19166,12849254,1656020052,16912.27966052563905723931495591642,225.939064392211940129014239,0.0451878128784423880258028478,6548974203501184663,1127.338728,8448693179396845242,1131.091109,2.67189366457283e-06,,,1127.776069270189391300183042
19167,12960010,1656102849,20041.00533833624344949156110386116,1381.646958838251985579042099,0.2763293917676503971158084198,8265963477774176023,1225.694217,8084319602471473830,1224.519121,1.3788200097879453e-05,0.0,,1225.775393253617300628162759
19168,13078971,1656199680,32284.81828157065459680421197883159,600.335106875902020585356455,0.120067021375180404117071291,13125258052380736170,1238.507301,12942271893941101129,1243.633821,3.7189932533620306e-06,0.0,,1238.570736782527054101916545
19169,13136726,1656239761,34786.27644126549570362664283586535,0,0,14125257350363664325,1240.279442,13942271192018137849,1244.574204,0.0,0.0,,1239.441769387964788488520686
19170,13340780,1656365706,53679.84968039977806600905768985194,12913.0212910024901034066818125,2.5826042582004980206813363625,19143273898873998699,1194.605358,25755906248636085072,1206.041717,4.81112423670495e-05,0.0,,1195.882292567695459373960565
19171,13410369,1656452231,48660.73556964344910741059835305081,17694.190345349889871681378935,3.538838069069977974336275787,17947271050101589382,1162.879748,23843005039412130209,1163.234709,7.272471383021283e-05,0.0,,1164.794247944949953739153267
19172,13489689,1656541227,44092.33300258473698631815895853226,2002.7658023046990882679056745,0.4005531604609398176535811349,17888461905848245465,1059.779992,23720841055242486872,1111.934623,9.084417475425013e-06,0.0,,1060.039088169566946189604888
19173,13564995,1656626036,29981.47055221653234349331460210756,3791.9943833123664728878894975,0.7583988766624732945775778995,9978389901084697876,1029.533299,19234765587748641432,1030.368989,2.5295586330284418e-05,0.0,,1027.141443743322091484183697
19174,13657407,1656715894,23189.58003883710566139257787950161,3430.4035381608546830739612955,0.6860807076321709366147922591,6938782540603947784,1076.293691,14606457605535703590,1066.334439,2.9585732319565366e-05,0.0,,1077.43131450696253061372914
19175,13718235,1656801624,22982.76668123042779708949160983726,1063.1600071309135433529234685,0.2126320014261827086705846937,6235661881361012295,1077.840516,15606437410357411904,1072.754201,9.251801768489216e-06,0.0,,1053.73932421521257014950498
19176,13736812,1656827784,24117.97513223903735366010592741831,0,0,6562708063930403180,1076.712682,15859906271558336598,1061.974685,0.0,0.0,,1077.066807339522025419293254
19177,13839657,1656959736,21748.26638786721693868695892110769,7380.336806023517668847657678,1.4760673612047035337695315356,5930593868502513766,1131.416464,14491290362326228260,1124.670565,6.787057574520802e-05,0.0,,1066.48991508875418552392401
19178,13914826,1657057629,33363.42075319941864190820274096024,10933.591082712400021768217815,2.186718216542480004353643563,8273160015281732937,1165.461112,21838321376298982961,1151.297904,6.554238645726345e-05,0.0,,1109.960240921874418729654952
19179,13986134,1657145353,33846.05578116453463599542413959129,2515.0674810213436107160257295,0.5030134962042687221432051459,7012873584522687387,1191.59008,21439734865575248378,1183.042442,1.4861805448072261e-05,0.0,,1192.23072250867953186558912
19180,14043184,1657231486,33846.05578116453463599542413959129,222.7319147564095003381855745,0.0445463829512819000676371149,6855840102263805860,1255.298898,21599725159701835969,1236.539312,1.3161469460223528e-06,0.0,,1192.23072250867953186558912
19181,14103080,1657294863,33846.05578116453463599542413959129,1237.937451915619112626679683,0.2475874903831238225253359366,7842598784440716652,1252.743754,20597061920966587103,1236.673614,7.315106137741085e-06,0.0,,1192.23072250867953186558912
19182,14177451,1657408268,33846.05578116453463599542413959129,1216.5645501636905439922265875,0.2433129100327381087984453175,6858847142452822066,1235.708675,21597061920966587103,1217.741837,7.188811352374557e-06,0.0,,1192.23072250867953186558912
19183,14201748,1657449937,33846.05578116453463599542413959129,3324.228199300019482084535229,0.6648456398600038964169070458,7537943371270509964,1203.110765,20906915661804600792,1179.729741,1.9643223546006008e-05,0.0,,1192.23072250867953186558912
19184,14282044,1657564089,33155.11248902860274673028432537335,574.6387070890308287543480535,0.1149277414178061657508696107,7046193579738420380,1167.229754,21406911291084582205,1149.869203,3.4663656006547117e-06,0.0,,1167.892175479096972102254
19185,14334226,1657639961,31054.80143663672228578218705954592,391.945855580311565649936609,0.0783891711160623131299873218,7301367260528407043,1093.275544,21147452890836657773,1079.53633,2.5242206515474014e-06,0.0,,1093.908507199508142340327448
19186,14389475,1657716006,31054.80143663672228578218705954592,522.877338222142018629677184,0.1045754676444284037259354368,6810253937306782149,1067.156416,21647452890836657773,1043.529565,3.3674492447746295e-06,0.0,,1093.908507199508142340327448
19187,14469078,1657789701,31054.80143663672228578218705954592,3181.297630886901932794793203,0.6362595261773803865589586406,7654514995826373467,1107.074265,20789470544733283858,1084.326301,2.0488281899840355e-05,0.0,,1093.908507199508142340327448
19188,14614675,1657926215,43245.76375497959600800829037458879,0,0,13010629964026247678,1267.431188,21140015687779494165,1249.894381,0.0,2.1490643615853196e-18,,1267.492349372355909958616475
19189,14699364,1658010511,53929.89657991051660674575107575207,7064.437194320280021028097115,1.412887438864056004205619423,7383381493461680245,1367.090801,32125908369945518091,1343.036817,2.6198593516130945e-05,1.8411924066580993e-18,,1370.239647902768519790994256
19190,14741488,1658050454,53564.96352330546430197263656038583,3407.6626989393673195149388005,0.6815325397878734639029877601,9903831903702965851,1380.053389,29646311378088711770,1357.919636,1.2723476223247065e-05,1.648590894011714e-18,,1357.496689954246575576864528
19191,14920955,1658187271,49781.87710084506562248627186035088,1587.009301819321334269253213,0.3174018603638642668538506426,8980380416904250002,1584.243177,24018677022421026896,1565.739447,6.375851591953656e-06,1.658834405889425e-18,,1511.59004671579446255959132
19192,15038124,1658260224,52776.99394775209837012784106770351,17426.24711121428481019833393,3.485249422242856962039666786,11027224802208285209,1587.695479,22295374334884189622,1567.738082,6.60372855963181e-05,2.0292922808990303e-18,,1586.079105136427845198779475
19193,15096760,1658303910,52776.99394775209837012784106770351,1544.0690909414298332138435455,0.3088138181882859666427687091,10037093940692329663,1565.771757,23295374334884189622,1538.129369,5.851296087344495e-06,1.8543559900380043e-18,,1586.079105136427845198779475
