blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
15405683,1661382225,0,15989.463834040764397009572,2022-08-24 23:04:32
15411862,1661468542,702048.6384045948107164059168,10318.4033366953956238592472,2022-08-25 23:02:24
15418280,1661557041,722215.40576219739803856996,6529.96307277423289800333,2022-08-26 23:36:32
15424211,1661639687,720885.50509166364063918762,42629.64252798723267273597,2022-08-27 22:34:40
15425880,1661662965,720885.50509166364063918762,56.43477,2022-08-28 05:02:56
15436423,1661808034,721541.20260917842713408528,3620.5316864718477497847,2022-08-29 21:20:00
15442986,1661898674,721541.20260917842713408528,115302.0058829729222765404320177488,2022-08-30 22:30:24
15449391,1661987238,721541.20260917842713408528,103482.3331738992356451389683678434,2022-08-31 23:06:40
15455639,1662073515,721541.20260917842713408528,417180.2668096671061251269208734749,2022-09-01 23:04:32
15462151,1662163010,721541.20260917842713408528,153698.9381787042245170064695229155,2022-09-02 23:57:52
15467659,1662239961,721541.20260917842713408528,298245.515918365271475773327313082,2022-09-03 21:20:00
15474498,1662334017,721541.20260917842713408528,210392.9126962097699348250359819589,2022-09-04 23:28:00
15480714,1662421018,721541.20260917842713408528,418320.9925399403176625256483454848,2022-09-05 23:36:32
15487060,1662508643,721541.20260917842713408528,705517.8311243843211617673421749435,2022-09-06 23:57:52
15491861,1662574661,721541.20260917842713408528,437879.262190446268838553739587,2022-09-07 18:18:40
15493310,1662595486,721541.20260917842713408528,3308.1809520209993351319898355,2022-09-08 00:04:16
15503820,1662742260,721541.20260917842713408528,247615.8794215191319461253036225,2022-09-09 16:51:12
15511390,1662849991,721541.20260917842713408528,10167.951254679250528234883136,2022-09-10 22:47:28
15514740,1662898048,721541.20260917842713408528,2814.1336633943362851516651405,2022-09-11 12:07:28
15529025,1663102205,212345.041321633100694356874439,43180.6900096577908660529741695,2022-09-13 20:50:08
15535164,1663191014,212345.041321633100694356874439,2794.7221087423566689063037525,2022-09-14 21:30:40
15542041,1663280723,212345.041321633100694356874439,24361.88691288916484535375035210748,2022-09-15 22:26:08
15547417,1663346339,212345.041321633100694356874439,3587.571747258041368574591175087543,2022-09-16 16:38:24
15554170,1663428227,212345.041321633100694356874439,161350.974453319192306463032091082,2022-09-17 15:23:44
15562841,1663533263,212345.041321633100694356874439,83249.56183334733460630040596924429,2022-09-18 20:35:12
15569989,1663619987,212345.041321633100694356874439,72629.95532255759508282615952957884,2022-09-19 20:39:28
15578114,1663718351,438363.5474914235919374062348756943,17358.0168395587136627362241965349,2022-09-21 00:00:00
15584042,1663791119,438363.5474914235919374062348756943,16335.96905250878587392579581451446,2022-09-21 20:11:44
15585279,1663806107,438363.5474914235919374062348756943,6489.6305193191178695322783125,2022-09-22 00:21:20
15597197,1663950011,438363.5474914235919374062348756943,41550.1597992581358238085634375,2022-09-23 16:19:12
15610604,1664111519,438363.5474914235919374062348756943,2914.7465226734639295989366875,2022-09-25 13:11:28
15619487,1664218823,438363.5474914235919374062348756943,7625.76782450054211729446,2022-09-26 19:01:20
15625738,1664294351,385376.840426760543277909642125,0,2022-09-27 16:00:00
15634038,1664394635,385376.840426760543277909642125,29081.842061379986591398434,2022-09-28 19:50:24
15637835,1664440415,385376.840426760543277909642125,6288.6227957634107570670293125,2022-09-29 08:34:08
15647793,1664560691,385376.840426760543277909642125,5528.62551675651940815940627407766,2022-09-30 17:57:20
15653956,1664635067,385376.840426760543277909642125,27170.72211721751374770756146195997,2022-10-01 14:36:48
15670622,1664836295,385376.840426760543277909642125,17533.47846393358987732290695676503,2022-10-03 22:32:32
15677161,1664915411,385376.840426760543277909642125,59604.29079808150627170648349807682,2022-10-04 20:30:56
15682461,1664979659,385376.840426760543277909642125,39402.05063642133714822768635352752,2022-10-05 14:21:52
15688716,1665055127,385376.840426760543277909642125,34073.52147247384698701356784063626,2022-10-06 11:18:24
15698144,1665169115,385376.840426760543277909642125,36386.72642639280477104685369162598,2022-10-07 18:59:12
15700256,1665194531,385376.840426760543277909642125,5362.468018738822476591428967639905,2022-10-08 02:01:36
15718597,1665415727,385376.840426760543277909642125,7671.08659491380176119491917760924,2022-10-10 15:28:00
15723204,1665471227,385376.840426760543277909642125,4806.275076014796656504403654916155,2022-10-11 06:53:52
15742230,1665700823,385376.840426760543277909642125,70362.84366565456481461672158982415,2022-10-13 22:41:04
15746892,1665757043,385376.840426760543277909642125,46087.09075015160193669414056826959,2022-10-14 14:17:36
15765444,1665980843,385376.840426760543277909642125,6339.981481762065479918589779,2022-10-17 04:26:40
15786739,1666237931,385376.840426760543277909642125,6030.21691263115546627950615622164,2022-10-20 03:52:32
15808280,1666497611,400763.5930954292272421411793319532,0,2022-10-23 04:01:04
15834034,1666808819,400763.5930954292272421411793319532,20881.67662955650231035250152727107,2022-10-26 18:27:12
15840398,1666885631,400763.5930954292272421411793319532,40072.14871644368351837101808507372,2022-10-27 15:47:12
15849566,1666996379,662855.3109474639974868389041906384,71683.67054466384083332124423390659,2022-10-28 22:32:32
