blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
16616102,1676246243,0,481283.0469506119855873099462365,2023-02-12 23:57:52
16622184,1676319671,0,644156.050226241673267722753321,2023-02-13 20:20:16
16630054,1676414759,0,954253.6337949562337509923465195,2023-02-14 22:45:20
16637366,1676503103,0,59287.1589357193674952463831175,2023-02-15 23:17:20
16644190,1676585471,8457255.300409828542917286877149,318798.9499307549709642843800675,2023-02-16 22:11:12
16651563,1676675147,8457255.300409828542917286877149,1958703.119009766962071864755443,2023-02-17 23:06:40
16657766,1676750651,8457255.300409828542917286877149,390847.98129766942681239880934,2023-02-18 20:03:12
16666036,1676850971,8877930.70869750187919441908278,113022.876789371206756315454301,2023-02-19 23:55:44
16671324,1676915111,8877930.70869750187919441908278,1635837.788761068798996012882415,2023-02-20 17:44:32
16679068,1677009095,8877930.70869750187919441908278,173536.6428101832575832967148885,2023-02-21 19:52:32
16686605,1677100823,8877930.70869750187919441908278,659683.8783715945617799495325105,2023-02-22 21:20:00
16694478,1677196367,10100344.867398191733949151962236,2679782.212185910140727511093462,2023-02-23 23:53:36
16701218,1677278579,11348939.948197013618206422869002,2950082.539941568891111176003259,2023-02-24 22:43:12
16707392,1677353615,10823866.526318886162976673344616,741057.250008835948097492096098,2023-02-25 19:33:20
16715298,1677449555,9934814.183448762930957810649198,313051.148426936762737094854485,2023-02-26 22:13:20
16722917,1677541859,9749843.338056438540283493482122,743753.75587697088009804731685,2023-02-27 23:51:28
16730033,1677628343,9472034.888108693588296822651506,457542.537707630280594646361435,2023-02-28 23:51:28
16736423,1677705911,9472034.888108693588296822651506,728835.3654613031369416487211615,2023-03-01 21:24:16
16743847,1677796271,9472034.888108693588296822651506,125964.1899391414694568090606425,2023-03-02 22:30:24
16750039,1677871535,9472034.888108693588296822651506,141183.0042801296964215105152975,2023-03-03 19:24:48
16757879,1677966923,9472034.888108693588296822651506,162552.8796736474485423566916625,2023-03-04 21:56:16
16761367,1678009211,9472034.888108693588296822651506,129921.25676561023057680069308,2023-03-05 09:40:16
16770344,1678118243,9472034.888108693588296822651506,446115.4114897805961081493641575,2023-03-06 15:57:52
16778853,1678221611,9689309.686356055153353124626475,68208.894378537642676172076334,2023-03-07 20:39:28
16785804,1678306055,9327215.291047400024002966543607,163934.1442098677130171667180765,2023-03-08 20:07:28
16793356,1678397831,9327215.291047400024002966543607,708643.2742078171463051814410135,2023-03-09 21:37:04
16799926,1678478039,9224210.700774803930910465356544,891783.568375553717601375083085,2023-03-10 19:54:40
16807695,1678572419,8570413.480401967363401933259221,79736.8618776442990477585035345,2023-03-11 22:06:56
16815150,1678662983,8570413.480401967363401933259221,87025.4466075457813694810757685,2023-03-12 23:17:20
16821248,1678736939,8570413.480401967363401933259221,3127314.551716773717167556249771,2023-03-13 19:48:16
16828089,1678819919,8570413.480401967363401933259221,546749.041075356162259384305179,2023-03-14 18:52:48
16836708,1678924775,8027644.494824120225710504288304,1043975.573077516825320465750153,2023-03-16 00:00:00
16843376,1679005751,8044625.573982761823264888369946,2369282.776788209758100980970182,2023-03-16 22:28:16
16849520,1679080295,7719146.242967677367508547718744,2214994.660896939961141553961299,2023-03-17 19:12:00
16857934,1679182391,8429627.826986176311273139781147,2374222.7901365545394452072707415,2023-03-18 23:32:16
16864715,1679264771,8429627.826986176311273139781147,411778.2077830180703738961976395,2023-03-19 22:26:08
16868772,1679313935,8429627.826986176311273139781147,800079.558982189560380496841112,2023-03-20 12:05:20
16877877,1679424407,8429627.826986176311273139781147,76314.779551323974660692043415,2023-03-21 18:46:24
16885828,1679520791,9592098.554434033137682172146895,2099020.77889616320002768348136,2023-03-22 21:32:48
16892200,1679598311,9592098.554434033137682172146895,588203.662017675914305003177912,2023-03-23 19:05:36
16897965,1679668235,9592098.554434033137682172146895,69598.484562334631963107246154,2023-03-24 14:30:24
16907248,1679780879,9607867.438239486132041810763364,382561.159619014080015428759331,2023-03-25 21:47:44
16913477,1679856467,9117696.140592793877549182736787,628341.2394281129751000803867885,2023-03-26 18:48:32
