blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
17281617,1684354271,361324.085400000000317965195152,0,2023-05-17 20:11:44
17289001,1684444067,361324.085400000000317965195152,64539.80981571907628316235120271291,2023-05-18 21:07:12
17296200,1684531775,361324.085400000000317965195152,47703.32367604845496072359700265499,2023-05-19 21:28:32
17302447,1684607663,3161303.43873385386040483445058,14570.19313628730963719840828330017,2023-05-20 18:33:36
17310564,1684706555,440910.20669599037917008238827,52435.77448310716226011989913993496,2023-05-21 22:02:40
17317567,1684791659,440912.20495623084506239313476,59358.03619045758053820202298853305,2023-05-22 21:41:20
17325324,1684886099,592748.61341172455569116880306,21592.9323074062316909762581584973,2023-05-23 23:55:44
17331773,1684964435,592748.61341172455569116880306,61566.69138385303726842247041364853,2023-05-24 21:41:20
17339486,1685058131,2883985.096415586748074031945767,265736.5797082832221712400607418698,2023-05-25 23:42:56
17346389,1685141975,2317825.568719991435254550871806,169478.1676995051637588809875127835,2023-05-26 23:00:16
17352730,1685218895,2793805.540070600774902461372081,168137.7446105163448753527171779309,2023-05-27 20:22:24
17360882,1685317619,2825604.081630897438244098364426,275645.8447845595409276367652007718,2023-05-28 23:47:12
17367047,1685392499,3104268.657336759542945539863474,140131.7657177424619403193445779216,2023-05-29 20:35:12
17373521,1685471327,3122712.197632701052350054745316,131874.2280007812485739337813125077,2023-05-30 18:29:20
17382035,1685574815,3056617.119998777922436304623762,700791.8886844860664431966496938724,2023-05-31 23:13:04
17388999,1685659535,11336705.634912205135042359702934,768961.3032659716472430568128432929,2023-06-01 22:45:20
17396413,1685749907,14604162.98041303007896737788312,741114.8119725849634651325858374731,2023-06-02 23:51:28
17402319,1685821703,14923913.415578570103909845779735,265920.7124815660461570405318343321,2023-06-03 19:48:16
17409940,1685914583,15526425.93044882856729054822168,697747.5792626954306616451672245278,2023-06-04 21:37:04
17417615,1686008351,15630177.582938306301428228653331,256294.0403102455513358067826368321,2023-06-05 23:38:40
17424549,1686092795,15049128.106287239741692738358293,2820804.721385857132852149156940664,2023-06-06 23:06:40
