blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
11597392,1609887250,11581662.270864910903619262424532,113240.952778121589110840500106,2021-01-05 22:53:52
11604105,1609976484,13269332.77516214039728814878794286,1041027.530037208490765966510422,2021-01-06 23:40:48
11610527,1610062704,14631597.14170206431712925546566254,856108.498844299119701151601842,2021-01-07 23:38:40
11617132,1610149409,14322861.64618922150216076259870191,557521.847477233489969666693965,2021-01-08 23:42:56
11623655,1610236385,18709406.09467768134044391907270095,891683.036743544245643320135066,2021-01-09 23:53:36
11630206,1610322850,33888756.90249030601244577287299574,154277.405128238657354128225028,2021-01-10 23:53:36
11636729,1610409151,29888147.03844782665140176927876595,458668.995825262422675987422876,2021-01-11 23:51:28
11643226,1610494881,34433919.20046273541918152618412075,986140.945133939295819847650789,2021-01-12 23:40:48
11649861,1610582134,76099179.82422285217677288957544421,19262294.388094999100497761658651,2021-01-13 23:55:44
11656272,1610668687,119488867.6644012723322290634103293,24329977.389772594016743378490383,2021-01-14 23:57:52
11662828,1610754627,129785076.6123977303112891224305321,5089340.605371355124556450935078,2021-01-15 23:51:28
11669306,1610840853,131594813.8907792915462989512627327,651133.933636647918235584366462,2021-01-16 23:47:12
11675587,1610924296,126566487.1328117112515508429795409,3480473.868598000626099414734317,2021-01-17 22:58:08
11682231,1611012773,116159733.6013704329001818545029297,1242174.245983865520324768959388,2021-01-18 23:32:16
11688845,1611100171,160930314.7871319187442040009933417,9282252.403969240817881948051824,2021-01-19 23:49:20
11695432,1611186570,165510280.9684019892491256676788455,7022247.941416852666609540813717,2021-01-20 23:49:20
11701947,1611273561,167660753.0092838710201161410864892,1427103.447327059016540147809348,2021-01-22 00:00:00
11708142,1611356128,171644548.7306252144375216254187432,3653624.124528695104377502466949,2021-01-22 22:56:00
11714732,1611443193,208569346.5521289366877763352735085,3235122.130433018940693917290951,2021-01-23 23:06:40
11721379,1611531776,187283120.2113696061749479801567606,6688266.866716187159495136431671,2021-01-24 23:42:56
11727977,1611619186,196211925.1281946525360143208315749,3499124.291527754633130871701885,2021-01-26 00:00:00
11734408,1611704507,218010636.6349080972886192957085343,12091248.123203283231815378472544,2021-01-26 23:40:48
11740952,1611791878,226277387.8313700449273060975131843,2658444.296459927096709608366414,2021-01-27 23:57:52
11747452,1611878322,235328102.3948610371576899519663937,1095607.79513249540474789049549,2021-01-28 23:57:52
11753864,1611964251,230174766.4566167683245446826944514,7505900.973612293618670798673471,2021-01-29 23:51:28
11760199,1612049706,203969003.2794761318863503990351679,3325109.915062103603439333950248,2021-01-30 23:34:24
11766857,1612136513,208868994.9231532893526658642991194,3268818.817533754971275442918294,2021-01-31 23:42:56
11773401,1612223671,218211080.4148331286881649393690811,8505307.935350850570080437156601,2021-02-01 23:53:36
11779920,1612310380,236983254.7982681451253419121672833,18998271.605369525551835172758672,2021-02-03 00:00:00
11786390,1612396556,257718764.6665799195485303144328007,14780511.460027836412918986579628,2021-02-03 23:55:44
11792883,1612482618,260988830.5081828778355214644278319,4492053.121862976555253806589672,2021-02-04 23:49:20
