blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
14763966,1652398142,231418041.4019880827621082446973481,11319821.47062808468776791301135672,2022-05-12 23:28:00
14770383,1652485408,368048745.491541841184020373003685,26976553.50977695779803138331464192,2022-05-13 23:42:56
14776225,1652566674,418819691.136236598157831909614048,1884339.493976974973902919836754546,2022-05-14 22:17:36
14782931,1652658492,550128349.522511392180078262549385,21613544.27276187038357215756409932,2022-05-15 23:47:12
14788953,1652741281,553332013.019111809296452394963741,5649224.655255740088802033235205662,2022-05-16 22:47:28
14795168,1652826871,580803906.74532915776037293193027,2706822.329850311169896418193866181,2022-05-17 22:34:40
14801239,1652910395,600809059.775512220853340817963424,3017551.59977195139943629473492697,2022-05-18 21:45:36
14807775,1653003016,629080363.424887512196263124360899,3175388.907092358958846281945377311,2022-05-19 23:30:08
14814044,1653090949,717715322.86020130708551349276626,698594.788891391288847733026838175,2022-05-20 23:55:44
14819879,1653172801,734639032.19996053047744635455083,31947657.97887793934259413201126068,2022-05-21 22:41:04
14825837,1653256400,737079957.50052160868477116860261,2112474.462069222676548238453472797,2022-05-22 21:54:08
14831899,1653341229,734816734.01091103975617778113366,3675224.866882143163212175770594925,2022-05-23 21:26:24
14838526,1653435056,730966825.51754125771103797344348,1337435.962764386920599197592277366,2022-05-24 23:30:08
14843883,1653510053,731829743.46397219180864482380736,1956554.48058138530054978234249574,2022-05-25 20:20:16
14850509,1653603648,659717377.207666743261108787795125,455113.2439189668627556449067022158,2022-05-26 22:19:44
14856664,1653689783,630754452.672037288890448015852806,4574161.297145904063340851891939244,2022-05-27 22:15:28
14863221,1653781692,630687059.791872756013421612660055,1818597.061407434130496189851080774,2022-05-28 23:47:12
14869228,1653865987,630443515.456487707323295422396774,157329.9469134113137897550659260704,2022-05-29 23:13:04
14875511,1653954910,629524608.415114033472560453996116,2922560.961184871950105899296589262,2022-05-30 23:55:44
14881003,1654032132,629209972.196832978886975296187755,299763.8076325010333635212543792663,2022-05-31 21:22:08
14886068,1654104279,672935406.391121103996222125548439,1362596.898958204596656315758429797,2022-06-01 17:25:20
14893605,1654209553,674543052.639253868905240475427178,2963557.386433810863779237009600699,2022-06-02 22:38:56
14900052,1654300257,572850602.937022520813491452976351,490194.9735671534229572620013346399,2022-06-03 23:51:28
14905853,1654385306,544455544.031086632038372949414449,4763.651976674873591736561484588591,2022-06-04 23:28:00
14911883,1654472918,542620026.347053432050427766702549,51423.10784187763105346012779021717,2022-06-05 23:49:20
14917571,1654557288,536818304.755168103884021741750248,6439660.166032979649451415006306962,2022-06-06 23:15:12
14922694,1654632084,488567847.495017515158377855517307,859536.2139517546911101737125859008,2022-06-07 20:01:04
14929202,1654727634,469266161.7254393825867985886341,8306174.726816830373905639502431611,2022-06-08 22:34:40
