day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyCRVRewardROI
19494,17281617,1684354271,365913.23990887625,0,0,100.01377339499481,100.00000000000001,1829.2050144568557,1829.675441,200.00000000000003,1829.5661995443809,0.0,
19495,17289001,1684444067,359367.0822210396,64608.89303868183362351221869703456,12.92177860773636672470244373940691,135.85748569576302,64.18826746339249,1795.9115636756278,1797.51,200.00000000000003,1796.8354111051979,3.530923708429022e-05,0.0
19496,17296200,1684531775,362416.5261581453,48157.24758666980037935732697576636,9.631449517333960075871465395153271,129.99442831301553,70.07168571786815,1810.6254517497066,1813.0762,200.00000000000003,1812.0826307907262,2.631829137432439e-05,0.0
19497,17302447,1684607663,3170136.8700818485,14640.51396689882658210986801989523,2.928102793379765316421973603979044,1126.3419490680558,616.9957589605247,1814.665895667539,1825.300307,1742.6085004645945,1819.1905234231685,9.247840421520249e-07,0.0
19498,17310564,1684706555,438444.6872296748,52610.12134899531605333762437536698,10.5220242697990632106675248750734,152.16621865973215,90.56348458614572,1806.8606658784656,1805.380312,242.6096100531697,1807.2024728681868,2.3987024743260096e-05,0.0
19499,17317567,1684791659,441344.44215878064,59693.24262367331936162739484720051,11.9386485247346638723254789694401,150.12420390827526,92.63184964932167,1817.3449889615024,1819.212,242.61070959028714,1819.1465780884462,2.7278747220244252e-05,0.0
19500,17325324,1684886099,592557.106552639,22069.85346490936099695696426328627,4.413970692981872199391392852657254,152.3816597120138,167.38905149489312,1852.4092377764823,1853.6691,319.5447290778082,1854.379223411797,7.446614961401719e-06,0.0
19501,17331773,1684964435,577445.6561103358,61381.01611219198346390196533626948,12.27620322243839669278039306725389,179.41469021704802,140.38656499486407,1805.2063073579686,1806.19225,319.5447290778082,1807.088659471299,2.071064013423734e-05,0.0
19502,17339486,1685058131,2883152.4294939614,267316.3895544157970019848918184679,53.4632779108831594003969783636936,988.3956179058852,607.0657990979865,1806.7500854364744,1807.66,1593.9494007066023,1808.8105106823666,1.853798689089308e-05,4.076265365131939e-18
19503,17346389,1685141975,2349819.7079746486,171368.865034495025005340181982279,34.27377300689900500106803639645578,742.3671187730201,539.989390565781,1835.1170361184472,1828.719561,1281.038754602249,1834.30805628066,1.4594775476651741e-05,4.9186742598155256e-18
19504,17352730,1685218895,2794157.1924164146,170867.9929306789275508097196111475,34.1735985861357855101619439222295,886.1138278041328,643.7605789911073,1826.1396041571422,1826.75,1528.161302212551,1828.443887677884,1.2236517547480396e-05,4.193692349949741e-18
19505,17360882,1685317619,2912423.0580155435,280542.2011404235224895423199050179,56.10844022808470449790846398100356,1020.1853476838983,509.88982360284945,1902.4077477957867,1905.538223,1528.163515690944,1905.8320841397135,1.9253388610149103e-05,3.8099273841376366e-18
19506,17367047,1685392499,3090090.1472718357,142419.7741460891792446680071873487,28.48395482921783584893360143746972,1071.122826827956,564.1599960171936,1889.2801699478914,1890.3131,1633.076703355331,1892.1892284195314,9.21486656058625e-06,3.745772920284611e-18
19507,17373521,1685471327,3114291.0136009706,134169.2350835591502244802763018946,26.83384701671183004489605526037892,1000.7931643343616,634.606110455549,1903.429106965905,1905.6737,1633.0768032129915,1907.0082971442428,8.593122042131938e-06,3.697700573214872e-18
19508,17382035,1685574815,3051759.9968435625,705310.6622792791081092554332565511,141.0621324558558216218510866513102,1038.6957794128905,596.9250314911454,1864.0766898430861,1868.83,1633.0769230277745,1868.7178502195147,4.614975540538497e-05,3.777658462614425e-18
19509,17388999,1685659535,11333863.596422412,775748.5865506139150533366130487939,155.1497173101227830106673226097588,4047.3769031733564,2017.4379124934246,1868.3878737897396,1869.59591,6054.658218130063,1871.9245889857666,1.3685608703848497e-05,3.284029742203021e-18
19510,17396413,1685749907,14891676.419940446,750173.1713564513032905361292625943,150.0346342712902606581072258525189,4893.995715071651,2919.401874833999,1905.2820296082473,1906.97772,7799.727562473078,1909.2559708865915,1.0188616393624359e-05,2.450251341944004e-18
19511,17402319,1685821703,14795724.418126553,268452.1513813326541537289520172009,53.69043027626653083074579040344017,4863.97935676805,2961.491184115223,1889.7198697705376,1892.345995,7811.20668253811,1894.1662945882968,3.625725871315285e-06,2.4931092855577778e-18
19512,17409940,1685914583,15615902.41092279,706589.9249317241296079842446764981,141.3179849863448259215968489352996,5188.619193632701,3016.5249458544117,1902.1695710350118,1904.93,8189.505902068069,1906.818628334996,9.04419775180763e-06,2.3878030647164144e-18
19513,17417615,1686008351,15109678.078147927,252756.9641080724534721643323972668,50.55139282161449069443286647945336,5261.227923503405,3100.130889246566,1807.0331913415641,1807.17034,8344.812218009078,1810.6672365304375,3.2392641958811225e-06,2.3377768465888247e-18
19514,17424549,1686092795,15598863.175883051,2861411.525679072372897759906662184,572.2823051358144745795519813324367,5527.273423211372,2761.884358269032,1881.2094037470968,1883.1,8271.714148455134,1885.8078139458398,3.6413906565952514e-05,2.1535327544167724e-18
19515,17431682,1686179723,18065841.516670603,3406210.152527690132440819927726063,681.2420305055380264881639855452123,7107.375948830785,2771.5881515252804,1828.1676650377783,1830.13,9856.512011170464,1832.8838331649615,3.7464456876949175e-05,1.8445840542034127e-18
19516,17438899,1686267803,19585779.190509558,1590908.097181167850676663257819507,318.1816194362335701353326515639015,6839.267102562607,3749.8253064411183,1849.4200007717614,1849.98,10564.467467388671,1853.929623141788,1.6269069461845506e-05,1.6527524887890045e-18
19517,17445843,1686352355,21046644.796260707,1014906.106206403797939063550235433,202.9812212412807595878127100470867,7248.969380660031,4214.94204950328,1835.3938271599584,1836.782345,11436.375001954742,1840.324822565135,9.645264198596103e-06,1.5166947055766515e-18
19518,17452977,1686439079,20024676.914861124,7277698.945044843518838837890370194,1455.53978900896870376776757807404,7350.853365777194,4108.051106015714,1743.9002843657204,1754.0,11429.446081286893,1752.0251438647547,7.242091170195314e-05,1.3584430551102687e-18
19519,17460247,1686527603,21690532.046385214,637576.9842301633655786465849988224,127.5153968460326731157293169997645,7779.228931240197,4597.863215346892,1751.8743989476309,1753.488449,12344.423109589334,1757.111843447401,5.818546632285457e-06,1.2920633686970827e-18
19520,17466641,1686605363,28291263.930693597,6473891.912994152769516789014712037,1294.778382598830553903357802942407,10036.060823095057,6254.776079297924,1736.1155804221046,1737.47265,16245.654110529562,1741.4665939709203,4.5979377319143576e-05,9.570409290280051e-19
19521,17474344,1686698975,35653031.346285865,5115761.219023310418894110339255733,1023.152243804662083778822067851147,12595.027155090682,7966.598419793249,1733.4114447268487,1734.826635,20502.254230439834,1738.9810381607488,2.8683652644088918e-05,7.837550669841712e-19
19522,17481575,1686786995,64497444.44559092,11318979.84306852504314865959018983,2263.795968613705008629731918037961,28937.215475515917,10201.319250177079,1647.107939370121,1650.25,39018.56647578239,1652.9936968756265,3.5076870064205396e-05,3.8320870890165924e-19
19523,17488321,1686869051,66645620.122214854,18181590.1781146236598900772058757,3636.318035622924731978015441175139,25820.070899822615,14211.097431700715,1664.206576647962,1666.0,39906.091519090995,1670.0613261093665,5.441946877760377e-05,1.503629427897503e-19
19524,17495748,1686959147,71920323.2292932,7120399.68632992879841749413781042,1424.079937265985759683498827562084,28049.13376724949,13852.328738593591,1715.3989647251656,1718.474103,41766.156586639576,1721.9760951693488,1.979603330261403e-05,1.4061094919950704e-19
19525,17502680,1687043003,72916756.0284151,3024570.773155736322201715893346619,604.9141546311472644403431786693239,26497.248671108053,15697.027352196088,1726.9424553207232,1730.10671,42055.57537221458,1733.8190093242663,8.286620673448962e-06,1.3706255981399025e-19
19526,17509290,1687123175,72977925.69169995,266276.6162772192724024805610921036,53.25532325544385448049611221842073,26543.27617892506,15649.365632654555,1729.110365505675,1730.528403,42051.15004118321,1735.4561199926352,7.293868131275895e-07,1.3957296126995774e-19
19527,17517179,1687218851,71970933.9511849,12925611.80163503825388850204089437,2585.122360327007650777700408178872,28786.417268565492,12762.656647093974,1731.6753861726902,1733.354138,41404.25288804452,1738.2497915320798,3.588359775687801e-05,1.4163236888591128e-19
19528,17524077,1687302563,74205401.97695062,6110255.913012160451933764949270272,1222.051182602432090386752989854056,26269.324704642757,15262.082586207758,1786.5595889424626,1787.0227,41384.29947691623,1793.081021423153,1.647640864668634e-05,1.4392957666862672e-19
19529,17531374,1687390931,78575680.75279078,8045516.028220607935593155891208315,1609.103205644121587118631178241663,25785.824195234516,15763.349503081025,1890.4436480889358,1892.302977,41398.45642243931,1898.0340704249109,2.063590208940188e-05,1.3836271939935963e-19
19530,17538230,1687474163,78202508.84934953,4098463.31094132214771546984804196,819.6926621882644295430939696083923,26247.104623492007,15333.392028442895,1880.5249405086215,1881.134581,41426.130600364624,1887.7579855035074,1.0446066563173955e-05,1.3870491829455724e-19
19531,17545147,1687558175,78814087.31362496,1853316.989557198751399418233528716,370.6633979114397502798836467057433,25771.2967463579,16059.162707565098,1883.5097195631765,1885.129378,41672.35237246378,1891.280017244807,4.713490208456947e-06,1.3863493848867064e-19
