day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,token0Balance,token1Balance,token0PriceUSD,token1PriceUSD,outputTokenSupply,outputTokenPriceUSD,dailyLPFeeROI,dailyCRVRewardROI,dailyOPRewardROI
19166,12849254,1656020052,16939.153986164554,225.939064392211940129014239,0.0451878128784423880258028478,6.548974203501185,8.448693179396846,1127.338728,1131.091109,14.996132761949788,1129.568153007078,2.67189366457283e-06,,
19167,12960010,1656102849,20030.947566142455,1381.646958838251985579042099,0.2763293917676503971158084198,8.265963477774177,8.084319602471474,1225.694217,1224.519121,16.349655449633985,1225.1602260273248,1.3788200097879453e-05,0.0,
19168,13078971,1656199680,32351.174973265464,600.335106875902020585356455,0.120067021375180404117071291,13.125258052380737,12.942271893941102,1238.507301,1243.633821,26.06618848870749,1241.1164366159933,3.7189932533620306e-06,0.0,
19169,13136726,1656239761,34871.457375373546,0,0,14.125257350363665,13.942271192018138,1240.279442,1244.574204,28.06608370027979,1242.4767825739048,0.0,0.0,
19170,13340780,1656365706,53931.354964252525,12913.0212910024901034066818125,2.5826042582004980206813363625,19.143273898874,25.755906248636087,1194.605358,1206.041717,44.88723515183341,1201.4853394696045,4.81112423670495e-05,0.0,
19171,13410369,1656452231,48605.529064735936,17694.190345349889871681378935,3.538838069069977974336275787,17.94727105010159,23.84300503941213,1162.879748,1163.234709,41.77624988747647,1163.4727673176506,7.272471383021283e-05,0.0,
19172,13489689,1656541227,45333.85847147614,2002.7658023046990882679056745,0.4005531604609398176535811349,17.88846190584825,23.720841055242488,1059.779992,1111.934623,41.59500672632895,1089.8870330697785,9.084417475425013e-06,0.0,
19173,13564995,1656626036,30091.990645872578,3791.9943833123664728878894975,0.7583988766624732945775778995,9.9783899010847,19.234765587748644,1029.533299,1030.368989,29.189232636696886,1030.9277746493665,2.5295586330284418e-05,0.0,
19174,13657407,1656715894,23043.53664824918,3430.4035381608546830739612955,0.6860807076321709366147922591,6.938782540603949,14.606457605535704,1076.293691,1066.334439,21.523023998470624,1070.6458650924983,2.9585732319565366e-05,0.0,
19175,13718235,1656801624,23462.92031441216,1063.1600071309135433529234685,0.2126320014261827086705846937,6.235661881361013,15.606437410357413,1077.840516,1072.754201,21.810675708005082,1075.7539394252083,9.251801768489216e-06,0.0,
19176,13736812,1656827784,23908.969967565223,0,0,6.562708063930403,15.859906271558337,1076.712682,1061.974685,22.3922740612657,1067.7330003263544,0.0,0.0,
19177,13839657,1656959736,23007.89926349769,7380.336806023517668847657678,1.4760673612047035337695315356,5.930593868502514,14.49129036232623,1131.416464,1124.670565,20.392378849693397,1128.2597009933256,6.787057574520802e-05,0.0,
19178,13914826,1657057629,34784.4598985756,10933.591082712400021768217815,2.186718216542480004353643563,8.273160015281734,21.838321376298985,1165.461112,1151.297904,30.05821246848403,1157.2364768878733,6.554238645726345e-05,0.0,
19179,13986134,1657145353,33720.58688681396,2515.0674810213436107160257295,0.5030134962042687221432051459,7.012873584522688,21.43973486557525,1191.59008,1183.042442,28.38884717711855,1187.811068072986,1.4861805448072261e-05,0.0,
19180,14043184,1657231486,35315.037813602765,222.7319147564095003381855745,0.0445463829512819000676371149,6.855840102263806,21.599725159701837,1255.298898,1236.539312,28.38884717711855,1243.9757624982649,1.3161469460223528e-06,0.0,
19181,14103080,1657294863,35296.609645919634,1237.937451915619112626679683,0.2475874903831238225253359366,7.842598784440717,20.59706192096659,1252.743754,1236.673614,28.38884717711855,1243.3266284362808,7.315106137741085e-06,0.0,
19182,14177451,1657408268,34775.182771868516,1216.5645501636905439922265875,0.2433129100327381087984453175,6.858847142452823,21.59706192096659,1235.708675,1217.741837,28.38884717711855,1224.95931430063,7.188811352374557e-06,0.0,
19183,14201748,1657449937,33733.49101474554,3324.228199300019482084535229,0.6648456398600038964169070458,7.53794337127051,20.906915661804604,1203.110765,1179.729741,28.38884717711855,1188.265617278562,1.9643223546006008e-05,0.0,
19184,14282044,1657564089,32839.674823685586,574.6387070890308287543480535,0.1149277414178061657508696107,7.0461935797384205,21.406911291084583,1167.229754,1149.869203,28.38884717711855,1156.78085195916,3.4663656006547117e-06,0.0,
19185,14334226,1657639961,30811.84994631968,391.945855580311565649936609,0.0783891711160623131299873218,7.301367260528408,21.147452890836657,1093.275544,1079.53633,28.38884717711855,1085.350516492761,2.5242206515474014e-06,0.0,
