timestamp,day,blockNumber,totalValueLockedUSD,dailyLDORewardAmount,dailyLDORewardUSD,dailyLDORewardROI,dailyCRVRewardAmount,dailyCRVRewardUSD,dailyCRVRewardROI
1652398142,19124,14763966,231418041.4019880827621082446973481,1.4286056469387755e+23,198671.9015028347,0.0008584978954070774,0.0,0.0,0.0
1652485408,19125,14770383,368048745.491541841184020373003685,1.4286056469387755e+23,212480.8036861449,0.0005773170165336916,0.0,0.0,0.0
1652566674,19126,14776225,418819691.136236598157831909614048,1.4286056469387755e+23,197720.59300253817,0.0004720900119718159,0.0,0.0,0.0
1652658492,19127,14782931,550128349.522511392180078262549385,1.4286056469387755e+23,208565.4241895798,0.0003791213893459698,0.0,0.0,0.0
1652741281,19128,14788953,553332013.019111809296452394963741,1.4286056469387755e+23,203314.44127369163,0.0003674366139858047,0.0,0.0,0.0
1652826871,19129,14795168,580803906.74532915776037293193027,1.4286056469387755e+23,205172.9143597943,0.00035325677389039755,0.0,0.0,0.0
1652910395,19130,14801239,600809059.775512220853340817963424,1.4286056469387755e+23,197542.7315994943,0.0003287945286199656,0.0,0.0,0.0
1653003016,19131,14807775,629080363.424887512196263124360899,7.142857142857143e+22,100321.85714285714,0.00015947383351258527,0.0,0.0,0.0
1653090949,19132,14814044,717715322.86020130708551349276626,7.142857142857143e+22,95267.21428571429,0.00013273677076596385,0.0,0.0,0.0
1653172801,19133,14819879,734639032.19996053047744635455083,7.142857142857143e+22,94206.21428571429,0.00012823469779927566,0.0,0.0,0.0
1653256400,19134,14825837,737079957.50052160868477116860261,7.142857142857143e+22,93942.85714285714,0.00012745273587606764,0.0,0.0,0.0
1653341229,19135,14831899,734816734.01091103975617778113366,7.142857142857143e+22,90440.14285714286,0.00012307850198713623,0.0,0.0,0.0
1653435056,19136,14838526,730966825.51754125771103797344348,7.142857142857143e+22,76362.85714285714,0.00010446829387748272,0.0,0.0,0.0
1653510053,19137,14843883,731829743.46397219180864482380736,7.142857142857143e+22,77037.78571428571,0.00010526736088867132,0.0,0.0,0.0
1653603648,19138,14850509,659717377.207666743261108787795125,3.5714285714285714e+22,39604.71428571428,6.00328499051306e-05,0.0,0.0,0.0
1653689783,19139,14856664,630754452.672037288890448015852806,3.5714285714285714e+22,41332.357142857145,6.552844291112446e-05,0.0,0.0,0.0
1653781692,19140,14863221,630687059.791872756013421612660055,3.5714285714285714e+22,39285.21428571428,6.228955180827468e-05,0.0,0.0,0.0
1653865987,19141,14869228,630443515.456487707323295422396774,3.5714285714285714e+22,37403.0,5.9328074733098757e-05,0.0,0.0,0.0
1653954910,19142,14875511,629524608.415114033472560453996116,3.5714285714285714e+22,41647.67857142857,6.615734796496744e-05,0.0,0.0,0.0
1654032132,19143,14881003,629209972.196832978886975296187755,3.5714285714285714e+22,41535.357142857145,6.601191808489618e-05,0.0,0.0,0.0
1654104279,19144,14886068,672935406.391121103996222125548439,3.5714285714285714e+22,35825.25,5.3237279031173125e-05,0.0,0.0,0.0
1654209553,19145,14893605,674543052.639253868905240475427178,3.5714285714285714e+22,35532.67857142857,5.267666523641668e-05,0.0,0.0,0.0
