day,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,dailySupplySideRevenueUSD,dailyLPFeeROIAverage,token0BalancePostion,token1BalancePostion,token0PriceUSD,token1PriceUSD,positionValueUSD,dailyLPFeeROIPosition
19219,15347356,1660584870,6547.126336141800433142442895897461,0,0,0.0,,,1910.5667476810054,1890.6861920348795,,
19220,15354601,1660683471,6452.291951909335082939113258542655,0,0,0.0,,,1881.0986642393348,1860.6101161641293,,
19221,15360362,1660761766,6427.52242717881124602289395284308,0,0,0.0,,,1866.9299047720901,1847.6087348959022,,
19222,15366169,1660841825,6434.347357349891087832861712118982,0,0,0.0,,,1868.437073494505,1849.2140339879081,,
19223,15373975,1660948993,5600.339050585176872237998753440467,0,0,0.0,,,1623.8880260750298,1607.055961996095,,
19224,15379165,1661019940,5590.539955384369946101407729455568,0,0,0.0,,,1619.1694356973223,1602.3538635775033,,
19225,15386499,1661119527,5570.273629979071514040419017490631,0,0,0.0,,,1608.8787417385572,1592.0564345794087,,
19226,15389463,1661160243,5411.241239750682896044768929486643,0,0,0.0,,,1563.723989750306,1546.4835029516746,,
19227,15399085,1661290960,5713.832361151064171970991051212952,0,0,0.0,,,1647.0445698067842,1628.9297259469433,,
19228,15403249,1661348687,5724.964872414230823032985957953303,0,0,0.0,,,1650.238007582209,1632.0525447704601,,
19229,15412051,1661471160,5882.763082899921093579966578486033,0,0,0.0,,,1693.0408760101855,1674.6320647935877,,
19230,15418307,1661557482,5239.257592904556825748157409804613,0,0,0.0,1.2521388917749122e+16,3.5678089808476864e+16,1505.782079375764,1489.381855761392,71.99278265021181,0.0
19231,15424285,1661640667,5173.510352296100308065805991448641,0,0,0.0,1.2272579762258596e+16,3.5929261236534172e+16,1487.8899403239795,1471.6912488842277,71.13702731077086,0.0
19232,15430747,1661730100,5018.942116281680707760292483519311,0,0,0.0,1.2670704269386212e+16,3.552741708794438e+16,1442.653317719683,1426.9316065547587,68.97462789411642,0.0
19233,15436939,1661814894,5342.592037293179501369402290305444,0,0,0.0,1.2272579762258596e+16,3.5929261236534172e+16,1535.1288373577231,1518.3109294415854,73.39178112400768,0.0
19234,15440260,1661860978,5510.919446582417217396808579913275,0,0,0.0,1.2820042018885868e+16,3.53767669654953e+16,1583.87031677455,1566.509134480543,75.72331261335373,0.0
19236,15454435,1662057041,5438.975084342114474404561698063903,0,0,0.0,1.1625966974959768e+16,3.658260088128495e+16,1563.3412530850535,1545.930259085451,74.72950343738356,0.0
19237,15461972,1662160751,5496.455538346515189257078367631607,0,0,0.0,1.147680831433029e+16,3.673343188334333e+16,1579.8479500742503,1562.2430575854264,75.5181610298301,0.0
19238,15466210,1662219583,5391.463081199018251193467308537993,0,0,0.0,1.21233241218337e+16,3.607999423519581e+16,1549.1582357863729,1531.8921893291736,74.05160876838434,0.0
19239,15474080,1662328437,5459.335261451407709176295545550507,0,0,0.0,1.132767202470375e+16,3.68842855106174e+16,1568.4595127574732,1550.9654743829644,74.97324831879473,0.0
19240,15480077,1662412342,5554.049655741074747378692010950937,0,0,0.0,1.2471622110592274e+16,3.5728319071036572e+16,1598.6268434962046,1577.0372621129804,76.2823603756201,0.0
19241,15484175,1662468429,5837.781107194391695676638264101001,0,0,0.0,1.311878472491268e+16,3.5075534501290416e+16,1677.1467348147603,1657.8889079197513,80.153466555171,0.0
19242,15491570,1662571220,5420.4938274653935310792221745735,0,0,0.0,1.122826025829704e+16,3.698486716670734e+16,1556.7730875401583,1538.9202530187567,74.39661452806791,0.0
19243,15495682,1662627941,5643.908403518811598913624021103728,0,0,0.0,1.21233241218337e+16,3.607999423519581e+16,1620.6230371311913,1601.9871703965257,77.44702623121626,0.0
19244,15504310,1662749262,5928.490782387031645445589026230768,0,0,0.0,1.1675691500416918e+16,3.6532328907837976e+16,1702.233662810931,1682.9112192574214,81.35542129320791,0.0
19245,15510278,1662834446,6040.618032770846453162416924208303,0,0,0.0,1.1277964898915304e+16,3.693457508145459e+16,1734.3885612308586,1714.6891839459574,82.89168972045192,0.0
19247,15523783,1663026940,5952.304099054077332775438174085817,0,0,0.0,1.3766368110630256e+16,3.4423174082443332e+16,1709.121227661941,1689.607668827433,81.69005088076457,0.0
19248,15526786,1663069977,6061.335292698140192523726750332241,0,0,0.0,1.222282539462649e+16,3.5979503057351424e+16,1739.6670273459922,1719.848745828895,83.14294952877171,0.0
19249,15535657,1663198131,5687.065397824789509533613724947675,0,0,0.0,1.122826025829704e+16,3.698486716670734e+16,1631.7882585796153,1613.1004910988952,77.98245064360826,0.0
19250,15542494,1663286279,5133.472118187950918928396595461106,0,0,0.0,1.2421857791589108e+16,3.5778550844996704e+16,1471.0839486992402,1454.6653710297394,70.31941455007485,0.0
19251,15549520,1663371887,4986.323238716996711587513220661846,0,0,0.0,1.2820042018885868e+16,3.53767669654953e+16,1427.694263108974,1411.8457182830643,68.24963741011165,0.0
19252,15556561,1663457219,5118.346937088081766118150024967496,0,0,0.0,1.2571158213183998e+16,3.562786305719212e+16,1464.572556308264,1448.5296186553246,70.01938820777715,0.0
19253,15563779,1663544663,5071.655251445020664207959533399867,0,0,0.0,1.1874614465129162e+16,3.633126614689586e+16,1340.0977705410294,1325.4770139571212,64.06940253642281,0.0
19254,15570888,1663630895,5227.212823783620102227859971018023,0,0,0.0,1.232233661754678e+16,3.5879021927619824e+16,1380.6350030492588,1365.6701764912243,66.01155946176577,0.0
19255,15576802,1663702475,5220.147875543603767848873963629298,0,0,0.0,1.1576244935542434e+16,3.663287536826776e+16,1350.731087784023,1336.1537443480254,64.58354750378504,0.0
19256,15584069,1663791443,5117.160710615974378224503325764557,0,0,0.0,1.3019193865145496e+16,3.517593528227925e+16,1323.6912404410125,1309.457847824043,63.29479738682768,0.0
19257,15591469,1663880903,5136.276170442867428428303977202832,0,0,0.0,1.2521388917749122e+16,3.5678089808476864e+16,1327.2875880188517,1312.99308933981,63.46456945466045,0.0
19258,15598122,1663961147,4991.968287087784686537370861109851,0,0,0.0,1.2471622110592274e+16,3.5728319071036572e+16,1289.4934411519953,1275.5991915201855,61.657089833524424,0.0
19259,15606594,1664063219,5091.212296583980348875184480117414,0,0,0.0,1.21233241218337e+16,3.607999423519581e+16,1314.5325511832236,1300.55533963535,62.86053334329173,0.0
19260,15612406,1664133227,5028.587851717542194442364060906012,0,0,0.0,1.2510125300282616e+16,3.57102129364143e+16,1296.7876022587814,1283.0359311302366,62.040461697841764,0.0
19261,15619621,1664220455,5168.925653799840728446558566808455,0,0,0.0,1.2062716428047348e+16,3.616277382163069e+16,1332.8266301584824,1318.706743458285,63.76560338809284,0.0
19262,15627432,1664314931,5130.165148302281667774372421482602,0,0,0.0,1.355486259470906e+16,3.4655029143073724e+16,1322.3880168710116,1308.3814822155216,63.26678626201326,0.0
