,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
0,15405825,1661384259,0.000000000000008176233897172242046182147512941331,0,2022-08-24 23:38:40
1,15436943,1661814932,37574.64377269250371086989839737925,25859.39205764381801832691892384141,2022-08-29 23:15:12
2,15443193,1661901813,189464.0557372850786701839778751565,567560.955652876696491597453581363,2022-08-30 23:23:44
3,15449575,1661989683,192254.213391271586808577584381599,675007.6680608205710791665272518636,2022-08-31 23:47:12
4,15455854,1662076410,198000.9632847611932085507268316818,419531.066227513581341285980229443,2022-09-01 23:53:36
5,15462157,1662163085,196983.4139825428045697176792555348,494494.002682186951384848132364624,2022-09-02 23:57:52
6,15468319,1662248991,271878.218176317553434304076639074,434520.468111582562138022099257956,2022-09-03 23:49:20
7,15474505,1662334052,274123.4004546258557188227696841651,897477.988844988553826392585058509,2022-09-04 23:28:00
8,15480751,1662421507,482242.4308540710719754204698361542,2106238.758437312020223582178693293,2022-09-05 23:45:04
9,15487060,1662508643,931760.0543837371975594563063863362,4130327.333936640088198810256971892,2022-09-06 23:57:52
10,15493287,1662595184,1186379.850357140987220637287942521,2796734.178146003230462540580965005,2022-09-08 00:00:00
11,15499562,1662681280,829633.8154023879605428417250169802,3624627.40650431256900270256610357,2022-09-08 23:55:44
12,15505477,1662765632,1082576.111388258039738562238601489,4255441.16472000994574452898742075,2022-09-09 23:19:28
13,15511671,1662854064,1015900.301341105093602067424082404,4171445.43584206255736054450079509,2022-09-10 23:53:36
14,15517708,1662940149,1234748.943846350865521606793071485,3658154.27930076477616240349534599,2022-09-11 23:49:20
15,15523678,1663025435,1375981.500930605055614495726202095,3158690.01916603981701319701086901,2022-09-12 23:30:08
16,15529733,1663111866,1201521.548029869462738635970674208,3982568.55575563416127079653377396,2022-09-13 23:30:08
17,15535749,1663199447,748781.0020831826774140747731876705,3153820.23071923828401926805482059,2022-09-14 23:51:28
18,15542482,1663286135,1214088.621592892607691968304016923,3173394.70377215878945620764479251,2022-09-15 23:55:44
19,15549530,1663372007,2064669.646185754025938805133425875,7635117.91760216460827643752502599,2022-09-16 23:47:12
20,15556478,1663456199,2394721.288027015852363330324575886,3642957.55436434258441884440879096,2022-09-17 23:10:56
21,15563851,1663545551,3181798.759449896091748864566292413,4042691.53116805058862759539916875,2022-09-19 00:00:00
22,15570966,1663631831,3240123.287806708422020821859714238,2617481.92042673360102232590142473,2022-09-19 23:57:52
23,15578114,1663718351,2345528.332148986098067658739315912,2254963.43174164089638275644928975,2022-09-21 00:00:00
24,15585153,1663804571,2246216.272559580217010017451805001,2454973.1845999256785063222460821,2022-09-21 23:55:44
25,15592278,1663890647,2533147.644968617542343725115349346,1595858.17112961671296646562711122,2022-09-22 23:51:28
26,15599347,1663975871,2936745.881265082930417062566225895,1594417.92182550926067957241850231,2022-09-23 23:30:08
27,15606604,1664063339,3056407.620473824650349838428795538,691680.82641699577446019419367955,2022-09-24 23:49:20
28,15613615,1664147843,3077267.992967558784181493764145721,466704.00580713261117397850042386,2022-09-25 23:17:20
29,15619759,1664222135,3448255.387154224699173814036982544,243675.58850622034593918948855508,2022-09-26 19:54:40
30,15628037,1664322239,4690697.454397910430034604622487937,1471361.79699339363045527921141682,2022-09-27 23:42:56
31,15635171,1664408315,4912387.993752671447453367344229461,5210572.00561044232046455021558174,2022-09-28 23:38:40
32,15642132,1664492399,4857680.581566932540852456308524089,2251258.30852983239811181533867335,2022-09-29 23:00:16
33,15649207,1664577755,6175418.661898223989210691331167669,3928394.02506453686831848867854135,2022-09-30 22:43:12
34,15656691,1664668319,6007136.089200082626315795402613433,254769.7771500281031160707280839,2022-10-01 23:51:28
35,15663827,1664754239,5726718.341738800406533589083332583,477192.7791747912123123776138096,2022-10-02 23:42:56
36,15670622,1664836295,6127247.731350622967308809201581934,789969.86624193438223854260151157,2022-10-03 22:32:32
37,15678191,1664927951,6236956.031195700209566050872212553,5070411.06893315935541602122411398,2022-10-05 00:00:00
38,15684966,1665009863,6384859.595375084967461517589778936,5462739.82609474876135462964596237,2022-10-05 22:45:20
39,15692462,1665100343,6819175.287388951708210573007454363,1780493.9633742201818672990192255,2022-10-06 23:51:28
40,15699537,1665185891,6649090.149975431333750743290663319,177682.74460692565047785054512493,2022-10-07 23:38:40
41,15706498,1665269795,6505258.800563614054409647989372308,67248.563269912523004361760677,2022-10-08 22:56:00
