,blockNumber,timestamp,totalValueLockedUSD,dailyVolumeUSD,date
0,14155364,1644188610,311800.0918652140804269748045741331,0,2022-02-06 23:04:32
1,14159294,1644241860,321237.0124614508765433462237871299,0,2022-02-07 13:52:00
2,14168446,1644363626,325290.0328280083532780800528897342,46043.37067364203123871523553869152,2022-02-08 23:40:48
3,14173853,1644436266,1173687.437736574310966906356386956,56279.42152776662061083383597844968,2022-02-09 19:50:24
4,14181401,1644537256,3376709.662566812111993159240072342,253923.2844285647147872313153323436,2022-02-10 23:53:36
5,14187271,1644615705,3222382.367356821625465556213776614,49029.9358647968571455312795922037,2022-02-11 21:41:20
6,14194094,1644706278,3194990.468185722276486479221499667,27274.8785322155218283738794292099,2022-02-12 22:51:44
7,14200777,1644795270,3168936.800775670787768590162506268,176645.7322732067327676722291094165,2022-02-13 23:34:24
8,14204373,1644842942,3197271.984316845274750411389141934,162272.0442458875816915443842210423,2022-02-14 12:48:00
9,14213830,1644969334,5031063.030089701039077226609654107,270995.6692867754172930522219788878,2022-02-15 23:55:44
10,14217976,1645025673,4832631.031868000188710730815336705,709550.318983230264828832923174838,2022-02-16 15:34:24
11,14226141,1645134234,57732.57731036751406271842849237622,314583.229787613330221090485248656,2022-02-17 21:43:28
12,14233094,1645227944,28126.87076737836899347692154035189,52858.009848314469170606180624236,2022-02-18 23:45:04
13,14236854,1645278728,167530.8586442504191497741052069431,139610.80170197792565090765032767,2022-02-19 13:52:00
14,14245701,1645396635,238401.1187787882980666401483234151,118544.838094942834142249657949174,2022-02-20 22:36:48
15,14251777,1645477832,4177634.120247928964888495272291831,42779.045838480040283069082821782,2022-02-21 21:11:28
16,14256018,1645534998,4104530.866227833710422112255508555,78144.61053971424882831611759448,2022-02-22 13:02:56
17,14265469,1645660767,4443705.116129089184061847406640356,226585.744787000385963934852881763,2022-02-24 00:00:00
18,14271765,1645744824,4315237.921047047187564961267618311,183335.710846766770480911046494871,2022-02-24 23:19:28
19,14278268,1645831948,4620080.179967040315615972617278193,121435.387595432745983669618343332,2022-02-25 23:32:16
20,14284761,1645918789,4550288.991467407110960415412562573,88283.030530222857761136208909248,2022-02-26 23:40:48
21,14289669,1645984281,4547592.810902423530153518379671544,164141.990755521692148542697936203,2022-02-27 17:50:56
22,14297634,1646091083,4755582.4392609726943771220857593,101781.423261058143587867817880039,2022-02-28 23:32:16
23,14303865,1646174012,4838864.615939725286507513967873819,94423.732685732535420086845345528,2022-03-01 22:32:32
24,14310515,1646263520,4867097.311608952005690058572267289,72613.763303364212720574616743547,2022-03-02 23:25:52
25,14316666,1646345871,4644584.692185240947362230524949155,38896.422013625516713889625923512,2022-03-03 22:17:36
26,14323268,1646433996,4262354.591419769403167354864003623,384561.386126923103553787631469639,2022-03-04 22:47:28
27,14329940,1646524184,4373268.545215353992416890226752242,163925.957234843093668922407083246,2022-03-05 23:49:20
28,14336296,1646609850,4258673.748658701564524757950860304,708074.521867097798803848280474945,2022-03-06 23:36:32
29,14342365,1646691567,4176592.665296828547009877445483278,365135.910295019798261774517455196,2022-03-07 22:19:44
30,14348501,1646774016,4116201.124931187052984158705947196,461976.470445336587327496302418268,2022-03-08 21:13:36
31,14355679,1646869601,4406450.245872742897527979470333423,1912422.976548226786616604573557976,2022-03-09 23:47:12
