Date,Open,High,Low,Close,Adj Close,Volume
2020-08-08,376.948303,394.570740,372.712402,392.814880,392.814880,0
2020-08-09,393.819397,411.082031,392.213257,403.037262,403.037262,0
2020-08-10,403.037262,418.726288,386.022522,399.900391,399.900391,0
2020-08-11,399.858917,410.206787,369.575897,378.056702,378.056702,1946263
2020-08-12,378.560486,394.391113,370.607788,387.220734,387.220734,1701799
2020-08-13,387.455322,429.743103,381.442261,428.168854,428.168854,503924
2020-08-14,428.176300,443.975098,419.664551,434.853699,434.853699,627005
2020-08-15,435.326569,439.336548,418.411407,428.029297,428.029297,673212
2020-08-16,428.333618,440.520813,414.707977,440.520813,440.520813,479798
2020-08-17,440.520813,443.635437,422.883209,430.710663,430.710663,245387
2020-08-18,430.984650,446.120148,419.922058,435.243134,435.243134,284105
2020-08-19,436.080109,440.259277,404.787750,418.481018,418.481018,713064
2020-08-20,418.481018,427.785156,386.007233,415.394135,415.394135,303496
2020-08-21,415.375244,426.258423,388.417389,389.729126,389.729126,208776
2020-08-22,389.873718,407.892120,386.595001,407.194366,407.194366,855661
2020-08-23,407.137878,410.284821,383.221954,396.870575,396.870575,999345
2020-08-24,396.747131,414.114868,393.015930,412.342682,412.342682,278900
2020-08-25,412.372620,421.379791,385.486359,393.676208,393.676208,639004
2020-08-26,393.552094,397.731384,384.802216,391.230164,391.230164,153577
2020-08-27,390.850067,396.065857,380.281738,386.554749,386.554749,618242
2020-08-28,386.467865,400.793793,383.872986,398.714844,398.714844,285526
2020-08-29,398.711182,413.059113,395.574829,406.737610,406.737610,251832
2020-08-30,406.466217,433.494873,405.005951,431.093872,431.093872,213641
2020-08-31,431.112213,453.977753,419.811371,450.132874,450.132874,450538
2020-09-01,450.550415,494.116882,435.592499,476.839050,476.839050,235306
2020-09-02,475.288361,481.220917,432.806976,452.883331,452.883331,235788
2020-09-03,454.787262,457.834625,385.397400,393.517487,393.517487,179357
2020-09-04,394.506378,405.483032,375.913605,390.784271,390.784271,85978
2020-09-05,390.792145,395.817017,326.309296,338.128204,338.128204,34550
2020-09-06,338.186676,358.506348,301.060883,354.825470,354.825470,104759
2020-09-07,354.825470,357.853546,334.584991,352.678894,352.678894,65615
2020-09-08,352.739441,355.565582,335.402008,339.895752,339.895752,201663
2020-09-09,339.913483,357.834412,338.238983,353.178314,353.178314,97231
2020-09-10,353.178314,380.357269,353.178314,367.661743,367.661743,82251
2020-09-11,368.139313,376.422577,353.245850,373.906494,373.906494,111801
2020-09-12,373.700470,386.983765,369.349548,386.983765,386.983765,74686
2020-09-13,386.983765,391.923248,361.788422,368.869415,368.869415,44431
2020-09-14,369.039764,383.773224,347.623413,372.217010,372.217010,483287
2020-09-15,372.217010,377.065948,359.747406,361.722748,361.722748,59983
2020-09-16,361.636505,371.453247,359.266022,366.671814,366.671814,38974
2020-09-17,366.671814,390.674957,364.948120,383.461334,383.461334,15962
2020-09-18,383.461334,459.349915,336.766174,371.781433,371.781433,28076
2020-09-19,371.781433,390.163910,371.696686,386.059326,386.059326,82341
2020-09-20,386.335144,386.670074,367.075439,371.438629,371.438629,80080
2020-09-21,371.438629,375.002197,338.407776,343.175140,343.175140,31866
2020-09-22,342.252167,346.355042,336.937103,344.719910,344.719910,61127
2020-09-23,345.198914,345.401581,328.047546,328.131409,328.131409,1663914
2020-09-24,328.239532,350.849976,327.876770,349.840698,349.840698,73895
2020-09-25,349.840210,361.125549,344.863831,355.831665,355.831665,85668
2020-09-26,355.831665,358.576874,351.841675,358.341644,358.341644,124432
2020-09-27,358.341644,364.516174,348.650299,359.294708,359.294708,231412
2020-09-28,359.293762,367.811890,358.301941,358.930328,358.930328,90773
2020-09-29,358.929932,364.921570,356.292084,364.317566,364.317566,30546
2020-09-30,364.318176,364.643402,358.161346,361.261505,361.261505,20374
2020-10-01,361.263153,370.323120,355.727875,355.970947,355.970947,113151
2020-10-02,355.970947,355.970947,340.991760,345.238525,345.238525,64469
2020-10-03,345.238525,354.428772,344.677673,350.365753,350.365753,43829
2020-10-04,350.365753,356.284332,348.360352,353.502380,353.502380,36815
2020-10-05,353.316071,355.820251,351.469696,353.806366,353.806366,146459
2020-10-06,354.000610,355.448242,338.472595,338.993774,338.993774,246301
2020-10-07,338.993805,341.495819,337.891632,340.886017,340.886017,153434
2020-10-08,340.886017,350.671753,336.947388,349.346863,349.346863,61389
2020-10-09,349.346893,366.973053,348.464630,365.589844,365.589844,74198
2020-10-10,365.589844,376.203094,365.391357,371.134491,371.134491,50128
2020-10-11,371.134491,379.841949,370.806915,377.597656,377.597656,92377
2020-10-12,377.597656,395.404510,367.816742,391.017914,391.017914,65274
2020-10-13,391.017914,391.017914,382.932739,383.838318,383.838318,184510
2020-10-14,383.838287,386.972046,376.382355,377.804535,377.804535,145907
2020-10-15,377.804535,378.268799,373.137543,376.896027,376.896027,40819
2020-10-16,376.896027,378.405304,359.722229,362.148773,362.148773,158174
2020-10-17,362.148773,370.030426,360.400726,367.701691,367.701691,138954
2020-10-18,367.701691,376.184967,367.532928,376.143280,376.143280,39893
2020-10-19,376.143280,380.504791,371.873230,377.080017,377.080017,20786
2020-10-20,377.079987,378.176056,367.778198,367.788544,367.788544,30165
2020-10-21,368.264709,395.746246,368.057526,392.704315,392.704315,549229
2020-10-22,392.704315,417.083344,392.452606,414.075043,414.075043,39694
2020-10-23,414.075043,415.578369,401.977905,403.736176,403.736176,0
2020-10-24,403.708832,412.454193,402.376007,408.096558,408.096558,76909
2020-10-25,408.087585,413.388062,406.041901,406.113770,406.113770,88219
2020-10-26,406.117584,406.131561,383.480011,392.887024,392.887024,40151
2020-10-27,392.901642,405.908112,392.290833,401.930420,401.930420,59930
2020-10-28,401.921753,406.864929,379.597443,384.828674,384.828674,9521
2020-10-29,384.822937,392.091675,383.669769,387.867188,387.867188,17012
2020-10-30,387.864136,388.079468,377.200073,382.555237,382.555237,103167
2020-10-31,382.558716,389.701904,381.746948,384.422974,384.422974,45851
2020-11-01,384.436340,396.882568,384.277283,393.205139,393.205139,35950
2020-11-02,393.216675,397.069183,382.469025,383.805359,383.805359,96957
2020-11-03,383.803558,384.714783,366.567902,384.659210,384.659210,582632
2020-11-04,384.647186,406.160980,381.004974,402.751740,402.751740,193448
2020-11-05,402.786469,414.382751,395.625854,411.473938,411.473938,17523
2020-11-06,411.469788,456.417480,411.469788,454.248749,454.248749,3842
2020-11-07,455.986572,468.263672,427.798431,436.665131,436.665131,14988
2020-11-08,437.208557,454.756683,433.169525,453.562653,453.562653,16117
2020-11-09,453.575012,455.660217,434.260498,446.205811,446.205811,2574
2020-11-10,446.148804,453.809387,437.032654,444.320251,444.320251,5486
2020-11-11,444.425323,473.925354,444.372131,466.272308,466.272308,1639
2020-11-12,466.270538,466.280396,454.513977,464.572327,464.572327,24066
2020-11-13,464.499481,472.475189,455.962524,472.419098,472.419098,8915
2020-11-14,472.379456,472.768433,456.751251,464.764893,464.764893,15027
2020-11-15,464.772400,466.202759,434.297455,441.560303,441.560303,12505
2020-11-16,441.583252,464.419189,437.277496,456.720184,456.720184,3022
2020-11-17,463.760834,486.952393,459.333893,484.702728,484.702728,9242
2020-11-18,484.648315,488.138245,466.000885,484.495667,484.495667,76533
2020-11-19,484.545441,484.930023,461.481934,467.251190,467.251190,46963
2020-11-20,467.256531,506.641022,466.094513,499.284821,499.284821,69890
2020-11-21,499.256500,542.205505,495.386414,541.540100,541.540100,29348
2020-11-22,541.549927,572.416565,505.487000,545.084045,545.084045,11380
2020-11-23,544.485535,605.417786,542.613098,604.881958,604.881958,20054
2020-11-24,604.875000,615.945618,576.205872,589.562500,589.562500,1055
2020-11-25,590.302124,598.914490,556.914124,568.300537,568.300537,60994
2020-11-26,568.186096,573.106812,480.233490,516.229004,516.229004,1095
2020-11-27,516.263916,529.516296,498.293915,516.404541,516.404541,8500
2020-11-28,516.433167,539.145630,502.343048,529.726379,529.726379,8338
2020-11-29,529.728333,576.465942,524.488525,575.065552,575.065552,11081
2020-11-30,575.069580,629.786560,570.285339,629.786560,629.786560,125319
2020-12-01,629.811035,649.200439,590.006531,600.781067,600.781067,7320
2020-12-02,600.760925,605.563110,585.541260,599.332703,599.332703,23358
2020-12-03,599.318787,622.528015,589.437622,618.974182,618.974182,23963
2020-12-04,618.846497,619.731689,568.631348,578.632263,578.632263,25051
2020-12-05,578.566406,593.981140,518.306702,522.379822,522.379822,6529
2020-12-06,522.372437,611.157959,522.371521,599.833984,599.833984,45612
2020-12-07,599.847107,601.727783,582.322205,589.504700,589.504700,723
2020-12-08,589.483154,591.188416,553.002625,555.871216,555.871216,59408
2020-12-09,555.947571,591.390320,534.219116,584.347595,584.347595,8809
2020-12-10,584.346558,584.346558,562.771240,565.413513,565.413513,1407
2020-12-11,565.404541,569.618286,536.710205,544.667480,544.667480,42795
2020-12-12,544.680847,571.429932,543.330933,567.351624,567.351624,32095
2020-12-13,567.295898,599.808472,563.608032,596.927612,596.927612,50354
2020-12-14,596.962585,597.038391,582.914185,589.439087,589.439087,13714
2020-12-15,589.418335,597.583496,581.341980,595.393982,595.393982,3645
2020-12-16,595.318909,632.962097,593.375427,632.962097,632.962097,16184
2020-12-17,632.744629,680.701172,632.741333,647.277039,647.277039,13058
2020-12-18,647.232849,661.771057,634.682800,660.170288,660.170288,47968
2020-12-19,660.188232,674.192261,643.200378,663.948364,663.948364,163965
2020-12-20,663.954407,663.954407,640.345825,644.662598,644.662598,13391
2020-12-21,644.664124,654.266418,607.374329,618.411743,618.411743,56766
2020-12-22,618.616943,646.112183,597.454346,646.112183,646.112183,33090
2020-12-23,646.115601,649.159546,571.049194,585.668030,585.668030,8448
2020-12-24,585.687622,613.499634,569.581665,610.922852,610.922852,20396
2020-12-25,611.011414,638.809204,603.177795,623.273865,623.273865,59959
2020-12-26,623.287537,645.768921,612.162842,630.316589,630.316589,71959
2020-12-27,630.309570,706.421570,626.975891,678.601624,678.601624,84120
2020-12-28,678.190674,742.756897,677.486328,727.675598,727.675598,8194
2020-12-29,727.624451,734.391052,688.575745,733.816101,733.816101,43399
2020-12-30,733.788147,767.193909,721.807861,765.428162,765.428162,42783
2020-12-31,765.389099,767.710449,730.160034,753.801514,753.801514,72852
2021-01-01,753.797302,765.029480,737.395447,748.349487,748.349487,71306
2021-01-02,748.368591,797.363464,732.035095,783.445496,783.445496,43281
2021-01-03,783.511292,1009.921875,779.764954,982.820679,982.820679,63471
2021-01-04,983.310486,1137.450317,914.737976,1029.855957,1029.855957,257650
2021-01-05,1029.838379,1118.769531,983.329285,1100.088989,1100.088989,101603
2021-01-06,1100.523071,1206.954468,1060.782837,1206.111938,1206.111938,26161
2021-01-07,1206.030884,1269.560547,1172.584473,1217.824463,1217.824463,12738
2021-01-08,1218.600708,1278.276978,1138.645020,1231.098999,1231.098999,78247
2021-01-09,1230.514771,1294.312866,1182.589966,1278.090454,1278.090454,73140
2021-01-10,1278.122803,1355.206055,1205.843994,1274.908936,1274.908936,11417
2021-01-11,1276.783203,1277.803589,930.720947,1092.636841,1092.636841,30352
2021-01-12,1092.720581,1146.546387,1016.764160,1077.153931,1077.153931,23498
2021-01-13,1077.183960,1139.827637,1011.814880,1128.792969,1128.792969,26298
2021-01-14,1128.808960,1244.343262,1096.857788,1223.528564,1223.528564,50955
2021-01-15,1223.687744,1257.105347,1098.151611,1167.290039,1167.290039,52648
2021-01-16,1167.291748,1276.773560,1158.519897,1228.332397,1228.332397,91932
2021-01-17,1228.342041,1261.388062,1171.234741,1226.861694,1226.861694,66117
2021-01-18,1226.944702,1260.366943,1193.386475,1260.004761,1260.004761,31505
2021-01-19,1259.973389,1422.519897,1258.142212,1378.714478,1378.714478,19532
2021-01-20,1378.728516,1396.243164,1245.271118,1377.673462,1377.673462,49115
2021-01-21,1377.637451,1378.147827,1107.680176,1124.398926,1124.398926,26185
2021-01-22,1124.541016,1283.387451,1054.427246,1242.500122,1242.500122,5886
2021-01-23,1242.508179,1275.443359,1206.529663,1232.713989,1232.713989,4544
2021-01-24,1232.693726,1397.238770,1230.055420,1397.238770,1397.238770,15820
2021-01-25,1397.404907,1465.260376,1310.939453,1319.121216,1319.121216,27571
2021-01-26,1319.088013,1376.941406,1258.675903,1352.665283,1352.665283,177901
2021-01-27,1352.636230,1369.967163,1211.640991,1218.006470,1218.006470,58572
2021-01-28,1217.876343,1362.013672,1200.538330,1332.571899,1332.571899,14502
2021-01-29,1332.587891,1433.823364,1306.603638,1394.265625,1394.265625,97769
2021-01-30,1394.257324,1411.337524,1340.111694,1396.129639,1396.129639,17726
2021-01-31,1395.738403,1396.933105,1307.488647,1335.015869,1335.015869,526973
2021-02-01,1335.053223,1385.333496,1292.963257,1382.895752,1382.895752,326681
2021-02-02,1383.220215,1549.865967,1366.330811,1523.075439,1523.075439,73553
2021-02-03,1523.086792,1682.358032,1504.016479,1681.942749,1681.942749,630092
2021-02-04,1683.318726,1712.942139,1590.503052,1651.916138,1651.916138,63820
2021-02-05,1651.552979,1773.508911,1601.345093,1736.130981,1736.130981,17779
2021-02-06,1735.957886,1753.289063,1669.189941,1702.856689,1702.856689,46613
2021-02-07,1702.847168,1715.775024,1591.434692,1639.581177,1639.581177,40027
2021-02-08,1639.871216,1781.476807,1603.388794,1750.484985,1750.484985,51786
2021-02-09,1750.531128,1827.003906,1721.999146,1791.265381,1791.265381,89975
2021-02-10,1791.252075,1826.290405,1707.094727,1758.162231,1758.162231,162934
2021-02-11,1758.154419,1813.256958,1703.645020,1782.373779,1782.373779,217197
2021-02-12,1782.507080,1857.546265,1728.369263,1835.337646,1835.337646,8192
2021-02-13,1835.334106,1864.222290,1777.635376,1819.987305,1819.987305,721145
2021-02-14,1819.820190,1860.840942,1776.580688,1785.220093,1785.220093,209685
2021-02-15,1785.242065,1842.370972,1664.440186,1788.474121,1788.474121,48887
2021-02-16,1788.562378,1833.072266,1709.967163,1773.106934,1773.106934,44300
2021-02-17,1773.141602,1872.432617,1726.409668,1863.042725,1863.042725,29588
2021-02-18,1863.651367,1926.350342,1863.651367,1920.741577,1920.741577,98949
2021-02-19,1920.570190,1985.709839,1918.977173,1977.600830,1977.600830,46314
2021-02-20,1977.625977,2052.303223,1848.065430,1897.665039,1897.665039,22778
2021-02-21,1897.679688,1992.535156,1876.668823,1941.024780,1941.024780,35977
2021-02-22,1941.004883,1941.108643,1595.792236,1799.205933,1799.205933,566961
2021-02-23,1799.202515,1799.202515,1355.461670,1575.988281,1575.988281,218645
2021-02-24,1570.251831,1715.626587,1523.339844,1615.770752,1615.770752,29085
2021-02-25,1615.515381,1659.336548,1464.137939,1475.151855,1475.151855,77691
2021-02-26,1475.105835,1555.302124,1405.657471,1463.481201,1463.481201,328863
2021-02-27,1463.439941,1537.093750,1434.369507,1461.053833,1461.053833,33100
2021-02-28,1461.062256,1484.536011,1274.138794,1404.553345,1404.553345,139994
2021-03-01,1404.574951,1566.267456,1383.122437,1560.412842,1560.412842,55986
