Date,Open,High,Low,Close,Adj Close,Volume
2022-03-08,2529.940186,2610.339111,2529.940186,2568.984131,2568.984131,82661
2022-03-09,2568.746338,2751.297363,2565.336426,2717.480713,2717.480713,20496
2022-03-10,2717.480713,2717.908203,2553.475830,2601.724609,2601.724609,26722
2022-03-11,2601.724609,2653.603516,2527.802734,2554.637451,2554.637451,237539
2022-03-12,2554.637451,2598.585449,2553.893066,2571.812500,2571.812500,1218158
2022-03-13,2571.812500,2588.139404,2493.279785,2506.219482,2506.219482,64171
2022-03-14,2506.219482,2592.363037,2499.750732,2578.919922,2578.919922,28188
2022-03-15,2578.919922,2646.569092,2508.094727,2612.456543,2612.456543,107828
2022-03-16,2612.456543,2771.433838,2603.956299,2760.801025,2760.801025,12732
2022-03-17,2760.801025,2816.135010,2745.889648,2806.097168,2806.097168,870746
2022-03-18,2806.097168,2965.572021,2768.228027,2935.351318,2935.351318,35226
2022-03-19,2935.354004,2967.562744,2905.855713,2935.258057,2935.258057,56593
2022-03-20,2935.260010,2945.999268,2816.457764,2850.356445,2850.356445,20199
2022-03-21,2850.356445,2943.768311,2830.489746,2887.338867,2887.338867,174169
2022-03-22,2887.337646,3029.791992,2885.947021,2958.064941,2958.064941,160018
2022-03-23,2958.061523,3024.284424,2922.658203,3015.944336,3015.944336,47990
2022-03-24,3015.936768,3106.131592,3001.153320,3099.527832,3099.527832,30824
2022-03-25,3099.533691,3172.114746,3078.891846,3091.360840,3091.360840,176799
2022-03-26,3091.364990,3134.250488,3086.458740,3130.156494,3130.156494,4112069
2022-03-27,3130.151855,3278.147705,3125.740234,3277.627197,3277.627197,33491
2022-03-28,3277.644775,3415.326172,3271.932617,3316.249512,3316.249512,492987
2022-03-29,3316.232422,3460.656982,3316.232422,3384.366699,3384.366699,774520
2022-03-30,3384.367920,3425.523682,3333.333252,3374.763428,3374.763428,40018
2022-03-31,3374.769043,3428.507080,3263.167725,3267.382813,3267.382813,1205445
2022-04-01,3267.459473,3455.687988,3212.773682,3431.343750,3431.343750,71605
2022-04-02,3431.336914,3511.474121,3431.336914,3436.336182,3436.336182,451777
2022-04-03,3436.337646,3557.555420,3412.426270,3512.315430,3512.315430,66278
2022-04-04,3512.322754,3521.218750,3408.620850,3512.368164,3512.368164,623097
2022-04-05,3512.369629,3532.786377,3406.298340,3406.298340,3406.298340,8084
2022-04-06,3405.728516,3405.728516,3160.754395,3160.754395,3160.754395,56651
2022-04-07,3160.757324,3250.760986,3143.554199,3225.228027,3225.228027,39615
2022-04-08,3225.212402,3286.466309,3170.850098,3172.263428,3172.263428,158381
2022-04-09,3172.301758,3248.053467,3172.301758,3248.053467,3248.053467,23015
2022-04-10,3248.046143,3291.115967,3206.480957,3210.642822,3210.642822,663769
2022-04-11,3210.627930,3210.627930,2953.999756,2975.197998,2975.197998,290665
2022-04-12,2975.198730,3067.877197,2947.667725,3016.411865,3016.411865,29768
2022-04-13,3016.369141,3110.388184,2998.268555,3108.069580,3108.069580,82115
2022-04-14,3108.061035,3127.560059,2978.875000,3011.269531,3011.269531,19816
2022-04-15,3011.270508,3031.764404,2991.162598,3026.556152,3026.556152,228518
2022-04-16,3026.564209,3065.723389,3009.449707,3054.989746,3054.989746,745855
2022-04-17,3054.989258,3063.411621,2981.161865,2982.006592,2982.006592,239485
2022-04-18,2982.022461,3047.822266,2882.786133,3047.150879,3047.150879,25006
2022-04-19,3047.180176,3107.405518,3024.808350,3092.307617,3092.307617,651821
2022-04-20,3092.300781,3144.803467,3036.792236,3067.562256,3067.562256,86668
2022-04-21,3067.550293,3157.919434,2951.160645,2973.746094,2973.746094,33344
2022-04-22,2973.763916,3013.248535,2936.716797,2952.236084,2952.236084,77711
2022-04-23,2952.239746,2963.881348,2916.799316,2925.944336,2925.944336,196813
2022-04-24,2925.932617,2947.556152,2914.444824,2914.947510,2914.947510,71215
2022-04-25,2914.939941,3003.162109,2796.990234,3001.584473,3001.584473,391796
2022-04-26,3001.551270,3010.720215,2780.170898,2792.604492,2792.604492,93864
2022-04-27,2792.593506,2901.407227,2792.593506,2879.084473,2879.084473,96402
2022-04-28,2879.098877,2962.151123,2853.517822,2923.105225,2923.105225,95682
2022-04-29,2923.091064,2929.186523,2771.137451,2804.093506,2804.093506,12997
2022-04-30,2804.093506,2832.536133,2716.295410,2717.825439,2717.825439,28218
2022-05-01,2717.835693,2828.749023,2715.073242,2819.137207,2819.137207,113467
2022-05-02,2819.134766,2862.836670,2779.669434,2851.177002,2851.177002,28309
2022-05-03,2851.178955,2851.178955,2755.329102,2774.373779,2774.373779,240938
